county,democrat,republican,other
Aurora,1508,984,190
Beadle,7007,4773,1264
Bennett,933,784,112
Bon Homme,2527,2825,409
Brookings,4817,6149,2038
Brown,11371,8836,2016
Brule,2189,1139,207
Buffalo,517,311,39
Butte,1476,3053,250
Campbell,313,1486,41
Charles Mix,3642,1861,299
Clark,1432,2034,206
Clay,2913,2582,906
Codington,5721,4897,1755
Corson,1163,1189,147
Custer,1248,1567,302
Davison,5222,3993,1100
Day,3054,2377,309
Deuel,1323,1674,374
Dewey,997,1117,165
Douglas,798,1950,130
Edmunds,1828,1804,205
Fall River,1852,2828,370
Faulk,1143,1146,128
Grant,2375,2621,601
Gregory,2189,1826,176
Haakon,576,999,79
Hamlin,1417,2103,244
Hand,1700,1911,244
Hanson,1041,868,165
Harding,376,782,52
Hughes,3057,4613,792
Hutchinson,1616,4630,105
Hyde,745,770,58
Jackson,295,631,21
Jerauld,964,1082,107
Jones,434,383,29
Kingsbury,1632,2927,277
Lake,3286,3348,538
Lawrence,3450,5924,702
Lincoln,2749,3978,750
Lyman,908,1416,59
McCook,1908,2091,510
McPherson,520,2504,96
Marshall,2029,1572,190
Meade,3114,3723,465
Mellette,572,688,87
Miner,1497,998,203
Minnehaha,28975,28322,5647
Moody,2208,1681,782
Pennington,14099,15779,3618
Perkins,1274,1767,164
Potter,999,1621,107
Roberts,3670,2032,520
Sanborn,1101,1159,220
Spink,3031,2454,450
Stanley,778,735,173
Sully,594,881,508
Tripp,2425,2347,448
Turner,1751,3901,588
Union,2843,2688,772
Walworth,1659,2901,271
Yankton,4510,5318,828
Ziebach,532,533,58
Shannon,1518,450,185
Todd,1682,808,233
Washabaugh,366,273,38
