date,county,democrats,republicans,other
1976-10-18,Aurora,1569,996,174
1976-10-18,Beadle,7242,4972,1350
1976-10-18,Bennett,952,793,120
1976-10-18,Bon Homme,2563,2848,361
1976-10-18,Brookings,5260,6453,2241
1976-10-18,Brown,12185,9350,2284
1976-10-18,Brule,2328,1153,202
1976-10-18,Buffalo,495,301,39
1976-10-18,Butte,1470,3037,249
1976-10-18,Campbell,335,1530,50
1976-10-18,Charles Mix,3678,1885,310
1976-10-18,Clark,1493,2061,207
1976-10-18,Clay,3163,2788,1107
1976-10-18,Codington,6301,5176,1991
1976-10-18,Corson,1353,1218,167
1976-10-18,Custer,1367,1627,366
1976-10-18,Davison,5879,4320,1215
1976-10-18,Day,3258,2369,336
1976-10-18,Deuel,1451,1715,389
1976-10-18,Dewey,1042,1131,175
1976-10-18,Douglas,803,2010,137
1976-10-18,Edmunds,1902,1818,192
1976-10-18,Fall River,2166,2970,464
1976-10-18,Faulk,1171,1159,148
1976-10-18,Grant,2507,2730,665
1976-10-18,Gregory,2234,1870,178
1976-10-18,Haakon,600,1029,79
1976-10-18,Hamlin,1321,2066,227
1976-10-18,Hand,1723,1922,176
1976-10-18,Hanson,1072,874,295
1976-10-18,Harding,401,795,63
1976-10-18,Hughes,3496,4410,961
1976-10-18,Hutchinson,1751,4866,137
1976-10-18,Hyde,764,765,68
1976-10-18,Jackson,314,653,28
1976-10-18,Jerauld,976,1088,109
1976-10-18,Jones,450,600,32
1976-10-18,Kingsbury,1694,2949,297
1976-10-18,Lake,3459,3365,583
1976-10-18,Lawrence,3856,6063,886
1976-10-18,Lincoln,3034,4214,816
1976-10-18,Lyman,927,1433,67
1976-10-18,McCook,2037,2163,523
1976-10-18,McPherson,553,2537,68
1976-10-18,Marshall,2135,1594,207
1976-10-18,Meade,3500,4000,500
1976-10-18,Mellette,597,707,110
1976-10-18,Miner,1526,1005,212
1976-10-18,Minnehaha,31676,29969,6361
1976-10-18,Moody,2268,1717,779
1976-10-18,Pennington,15867,17095,4314
1976-10-18,Perkins,1380,1800,140
1976-10-18,Potter,1048,1655,123
1976-10-18,Roberts,3819,2116,565
1976-10-18,Sanborn,1101,1180,225
1976-10-18,Spink,3171,2506,535
1976-10-18,Stanley,773,768,193
1976-10-18,Sully,607,886,70
1976-10-18,Tripp,2465,2391,469
1976-10-18,Turner,1832,3972,142
1976-10-18,Union,3167,2840,825
1976-10-18,Walworth,1715,2907,296
1976-10-18,Yankton,4866,5510,894
1976-10-18,Ziebach,538,551,66
1976-10-18,Shannon,1759,485,226
1976-10-18,Todd,1750,826,263
1976-10-18,Washabaugh,417,280,72
