date,county,democratic,republican,other
1978-10-23,Aurora,1442,1046,150
1978-10-23,Beadle,7011,4784,1115
1978-10-23,Bennett,1191,825,110
1978-10-23,Bon Homme,2513,2858,363
1978-10-23,Brookings,5348,6275,2282
1978-10-23,Brown,11842,9087,1878
1978-10-23,Brule,2283,1140,185
1978-10-23,Buffalo,702,319,53
1978-10-23,Butte,1423,3413,307
1978-10-23,Campbell,323,1473,44
1978-10-23,Charles Mix,3758,1862,277
1978-10-23,Clark,1494,1937,186
1978-10-23,Clay,3580,2953,1241
1978-10-23,Codington,5968,4863,1622
1978-10-23,Corson,1655,1223,201
1978-10-23,Custer,1343,1594,359
1978-10-23,Davison,5625,3999,1100
1978-10-23,Day,3111,2284,285
1978-10-23,Deuel,1474,1670,363
1978-10-23,Dewey,1539,1250,304
1978-10-23,Douglas,835,2025,123
1978-10-23,Edmunds,1887,1771,165
1978-10-23,Fall River,2131,2769,444
1978-10-23,Faulk,1200,1147,123
1978-10-23,Grant,2495,2656,580
1978-10-23,Gregory,2246,1873,164
1978-10-23,Haakon,606,1026,85
1978-10-23,Hamlin,1409,2056,232
1978-10-23,Hand,1739,1872,235
1978-10-23,Hanson,1091,905,269
1978-10-23,Harding,394,788,67
1978-10-23,Hughes,3307,4740,980
1978-10-23,Hutchinson,1690,4662,134
1978-10-23,Hyde,795,742,61
1978-10-23,Jackson,821,1019,107
1978-10-23,Jerauld,994,1059,117
1978-10-23,Jones,445,610,42
1978-10-23,Kingsbury,1610,2763,259
1978-10-23,Lake,3295,3189,450
1978-10-23,Lawrence,3883,5951,838
1978-10-23,Lincoln,3416,4040,770
1978-10-23,Lyman,1059,1429,75
1978-10-23,McCook,2039,2147,453
1978-10-23,McPherson,492,2496,91
1978-10-23,Marshall,2163,1583,160
1978-10-23,Meade,3511,4077,600
1978-10-23,Mellette,671,700,106
1978-10-23,Miner,1522,1025,193
1978-10-23,Minnehaha,31440,28573,5487
1978-10-23,Moody,2457,1731,656
1978-10-23,Pennington,15587,16284,3836
1978-10-23,Perkins,1780,1482,194
1978-10-23,Potter,1016,1586,97
1978-10-23,Roberts,3714,2057,534
1978-10-23,Sanborn,1136,1159,198
1978-10-23,Spink,3107,2405,486
1978-10-23,Stanley,800,781,156
1978-10-23,Sully,577,858,57
1978-10-23,Tripp,2377,2343,420
1978-10-23,Turner,1837,3736,512
1978-10-23,Union,3390,2594,757
1978-10-23,Walworth,1654,2846,274
1978-10-23,Yankton,4791,5365,811
1978-10-23,Ziebach,642,574,120
1978-10-23,Shannon,2945,505,418
1978-10-23,Todd,2724,913,346
