county,republicans,democrats,other
Aurora,948,1369,104
Beadle,4651,6350,959
Bennett,795,962,89
Bon Homme,2832,2504,300
Brookings,6950,5801,3168
Brown,9183,11714,1845
Brule,1146,2144,150
Buffalo,262,551,57
Butte,3407,1267,245
Campbell,1441,255,34
Charles Mix,1847,3520,239
Clark,1871,1380,159
Clay,2961,3220,1127
Codington,4983,5898,1699
Corson,1116,1536,193
Custer,1850,1321,411
Davison,4068,5264,1042
Day,2175,2934,255
Deuel,1779,1319,319
Dewey,1311,1498,185
Douglas,1975,752,119
Edmunds,1625,1633,118
Fall River,2792,1920,435
Faulk,1110,1064,80
Grant,2600,2324,519
Gregory,1856,2109,145
Haakon,1139,554,73
Hamlin,2054,1319,260
Hand,1770,1523,165
Hanson,842,981,258
Harding,771,354,46
Hughes,4683,2913,880
Hutchinson,4379,1541,116
Hyde,668,700,55
Jackson,1014,676,67
Jerauld,1026,918,114
Jones,650,389,39
Kingsbury,2661,1473,249
Lake,3212,3119,415
Lawrence,5748,3492,903
Lincoln,4217,3500,758
Lyman,1315,940,71
Marshall,1512,1897,131
McCook,2005,1894,373
McPherson,2319,503,108
Meade,4656,3451,740
Mellette,736,680,107
Miner,892,1459,184
Minnehaha,30306,32166,5147
Moody,1629,2268,477
Pennington,18436,14909,3752
Perkins,1732,1299,179
Potter,1778,757,66
Roberts,2008,3652,541
Sanborn,1098,1088,134
Shannon,448,2827,397
Spink,2322,2824,403
Stanley,848,714,141
Sully,812,542,42
Todd,814,2433,343
Tripp,2366,2030,297
Turner,3725,1797,428
Union,2485,3325,666
Walworth,2872,1420,237
Yankton,5288,4549,864
Ziebach,562,601,133
