date,county,republican,democratic,other
1988-05-13,Aurora,861,1250,97
1988-05-13,Beadle,4677,5935,973
1988-05-13,Bennett,881,1044,100
1988-05-13,Bon Homme,2432,2134,177
1988-05-13,Brookings,7344,5258,2208
1988-05-13,Brown,9423,11179,1595
1988-05-13,Brule,1245,2169,169
1988-05-13,Buffalo,261,743,55
1988-05-13,Butte,3281,1070,147
1988-05-13,Campbell,1388,218,26
1988-05-13,Charles Mix,1959,3502,226
1988-05-13,Clark,1723,1248,140
1988-05-13,Clay,3098,3394,839
1988-05-13,Codington,5455,5714,1410
1988-05-13,Corson,1028,1372,153
1988-05-13,Custer,2276,1268,428
1988-05-13,Davison,4635,5266,927
1988-05-13,Day,2052,2740,208
1988-05-13,Deuel,1559,1418,336
1988-05-13,Dewey,1080,1707,223
1988-05-13,Douglas,1934,641,74
1988-05-13,Edmunds,1562,1479,121
1988-05-13,Fall River,2657,1756,419
1988-05-13,Faulk,1013,879,66
1988-05-13,Grant,2605,2312,502
1988-05-13,Gregory,1755,1847,121
1988-05-13,Haakon,1148,471,50
1988-05-13,Hamlin,1723,1204,223
1988-05-13,Hand,1769,1403,238
1988-05-13,Hanson,773,914,299
1988-05-13,Harding,785,312,54
1988-05-13,Hughes,5805,3110,877
1988-05-13,Hutchinson,4292,1464,138
1988-05-13,Hyde,692,646,81
1988-05-13,Jackson,1002,643,61
1988-05-13,Jerauld,875,774,94
1988-05-13,Jones,638,322,22
1988-05-13,Kingsbury,2504,1366,201
1988-05-13,Lake,3447,2966,369
1988-05-13,Lawrence,6743,3953,948
1988-05-13,Lincoln,4505,3393,701
1988-05-13,Lyman,1308,897,69
1988-05-13,Marshall,1387,1789,84
1988-05-13,McCook,1964,1665,286
1988-05-13,McPherson,2052,475,72
1988-05-13,Meade,6407,4086,950
1988-05-13,Mellette,688,603,65
1988-05-13,Miner,812,1323,147
1988-05-13,Minnehaha,34524,34067,5603
1988-05-13,Moody,1566,2007,339
1988-05-13,Pennington,24160,15619,3931
1988-05-13,Perkins,1691,1092,142
1988-05-13,Potter,1637,683,58
1988-05-13,Roberts,2029,3474,472
1988-05-13,Sanborn,1029,950,103
1988-05-13,Shannon,658,2980,305
1988-05-13,Spink,2310,2731,420
1988-05-13,Stanley,900,729,134
1988-05-13,Sully,775,497,45
1988-05-13,Todd,761,2160,259
1988-05-13,Tripp,2398,1782,250
1988-05-13,Turner,3684,1780,324
1988-05-13,Union,2291,3231,575
1988-05-13,Walworth,2497,1170,200
1988-05-13,Yankton,5433,4517,813
1988-05-13,Ziebach,515,540,106
