date,county,republican,democractic,libertarian,other
1992-02-10,Aurora,847,1212,0,99
1992-02-10,Beadle,4351,5780,5,965
1992-02-10,Bennett,802,1011,0,94
1992-02-10,Bon Homme,2374,2102,0,186
1992-02-10,Brookings,6712,4788,2,1870
1992-02-10,Brown,8613,10302,2,1478
1992-02-10,Brule,1198,1923,0,155
1992-02-10,Buffalo,226,773,0,33
1992-02-10,Butte,3186,1170,1,206
1992-02-10,Campbell,1208,206,0,21
1992-02-10,Charles Mix,1912,3335,0,232
1992-02-10,Clark,1585,1128,0,133
1992-02-10,Clay,2633,2991,0,729
1992-02-10,Codington,5281,5711,3,1389
1992-02-10,Corson,889,1076,0,117
1992-02-10,Custer,2328,1202,2,453
1992-02-10,Davison,4304,4534,1,892
1992-02-10,Day,1834,2483,0,203
1992-02-10,Deuel,1346,1315,0,273
1992-02-10,Dewey,948,1589,0,166
1992-02-10,Douglas,1858,561,0,60
1992-02-10,Edmunds,1429,1361,0,164
1992-02-10,Fall River,2618,1671,0,430
1992-02-10,Faulk,960,821,0,50
1992-02-10,Grant,2403,2146,0,430
1992-02-10,Gregory,1613,1694,0,104
1992-02-10,Haakon,1094,438,0,51
1992-02-10,Hamlin,1823,1123,0,205
1992-02-10,Hand,1568,1241,0,197
1992-02-10,Hanson,741,927,0,298
1992-02-10,Harding,733,284,0,43
1992-02-10,Hughes,5740,2822,0,769
1992-02-10,Hutchinson,3985,1355,0,149
1992-02-10,Hyde,643,546,0,66
1992-02-10,Jackson,938,626,2,86
1992-02-10,Jerauld,848,690,1,67
1992-02-10,Jones,662,270,1,24
1992-02-10,Kingsbury,2323,1317,0,190
1992-02-10,Lake,3277,2869,2,386
1992-02-10,Lawrence,6595,3898,9,1025
1992-02-10,Lincoln,4517,3439,0,736
1992-02-10,Lyman,1108,695,0,57
1992-02-10,Marshall,1238,1591,0,87
1992-02-10,McCook,1771,1591,0,274
1992-02-10,McPherson,1815,426,0,73
1992-02-10,Meade,6614,4017,6,1024
1992-02-10,Mellette,607,541,0,53
1992-02-10,Miner,742,1175,0,148
1992-02-10,Minnehaha,33543,32942,12,5411
1992-02-10,Moody,1444,1875,0,343
1992-02-10,Pennington,24271,15479,26,4359
1992-02-10,Perkins,1560,997,1,141
1992-02-10,Potter,1546,639,0,69
1992-02-10,Roberts,1881,3125,0,387
1992-02-10,Sanborn,1110,861,1,99
1992-02-10,Shannon,667,3002,0,470
1992-02-10,Spink,2004,2416,0,359
1992-02-10,Stanley,897,700,0,134
1992-02-10,Sully,689,506,0,27
1992-02-10,Todd,657,2182,0,311
1992-02-10,Tripp,2318,1670,0,228
1992-02-10,Turner,3464,1774,0,324
1992-02-10,Union,2245,3050,0,514
1992-02-10,Walworth,2500,1132,0,210
1992-02-10,Yankton,5132,4437,1,855
1992-02-10,Ziebach,464,520,0,93
