date,county,republican,democratic,libertarian,other
1992-05-18,Aurora,790,1294,0,85
1992-05-18,Beadle,4383,5793,6,986
1992-05-18,Bennett,791,1066,0,90
1992-05-18,Bon Homme,2380,2124,1,186
1992-05-18,Brookings,6782,4862,4,1918
1992-05-18,Brown,8690,10456,2,1513
1992-05-18,Brule,1195,1927,0,163
1992-05-18,Buffalo,227,774,0,33
1992-05-18,Butte,2974,1087,10,206
1992-05-18,Campbell,1210,209,0,20
1992-05-18,Charles Mix,1918,3347,0,240
1992-05-18,Clark,1644,1094,0,131
1992-05-18,Clay,2689,3038,0,754
1992-05-18,Codington,5312,5762,3,1425
1992-05-18,Corson,909,1069,0,116
1992-05-18,Custer,2323,1226,6,459
1992-05-18,Davison,4327,4578,3,895
1992-05-18,Day,1841,2492,0,204
1992-05-18,Deuel,1373,1311,0,282
1992-05-18,Dewey,994,1729,0,172
1992-05-18,Douglas,1875,563,0,64
1992-05-18,Edmunds,1428,1373,0,174
1992-05-18,Fall River,2643,1736,0,441
1992-05-18,Faulk,963,821,0,51
1992-05-18,Grant,2404,2171,0,431
1992-05-18,Gregory,1624,1706,0,106
1992-05-18,Haakon,1061,423,0,48
1992-05-18,Hamlin,1912,1213,0,213
1992-05-18,Hand,1592,1328,0,161
1992-05-18,Hanson,726,954,0,298
1992-05-18,Harding,740,282,0,45
1992-05-18,Hughes,5836,2872,0,772
1992-05-18,Hutchinson,4087,1360,0,155
1992-05-18,Hyde,647,553,0,68
1992-05-18,Jackson,948,626,2,86
1992-05-18,Jerauld,868,746,0,76
1992-05-18,Jones,657,262,1,23
1992-05-18,Kingsbury,2347,1327,0,192
1992-05-18,Lake,3307,2898,2,393
1992-05-18,Lawrence,6511,3883,9,1004
1992-05-18,Lincoln,4627,3514,1,768
1992-05-18,Lyman,1111,702,2,55
1992-05-18,Marshall,1237,1625,0,94
1992-05-18,McCook,1778,1616,1,275
1992-05-18,McPherson,1824,432,0,70
1992-05-18,Meade,6387,3875,13,966
1992-05-18,Mellette,605,541,0,55
1992-05-18,Miner,746,1170,0,148
1992-05-18,Minnehaha,34031,33425,20,5562
1992-05-18,Moody,1467,1898,0,340
1992-05-18,Pennington,24589,15859,133,4492
1992-05-18,Perkins,1574,1012,1,150
1992-05-18,Potter,1524,624,0,69
1992-05-18,Roberts,1883,3145,0,390
1992-05-18,Sanborn,1094,872,1,132
1992-05-18,Shannon,664,3005,0,472
1992-05-18,Spink,2054,2446,0,346
1992-05-18,Stanley,908,705,0,132
1992-05-18,Sully,695,505,0,31
1992-05-18,Todd,666,2176,0,313
1992-05-18,Tripp,2341,1675,0,220
1992-05-18,Turner,3466,1804,0,333
1992-05-18,Union,2271,3093,0,531
1992-05-18,Walworth,2452,1087,0,205
1992-05-18,Yankton,5038,4665,1,868
1992-05-18,Ziebach,465,580,0,92
