date,county,republican,democratic,libertarian,independent,other,inactive
1996-02-12,Aurora,851,1130,1,79,0,6
1996-02-12,Beadle,4475,5566,20,1226,0,592
1996-02-12,Bennett,725,927,0,126,0,14
1996-02-12,Bon Homme,2369,1926,4,238,1,88
1996-02-12,Brookings,7470,5361,37,2732,5,626
1996-02-12,Brown,9123,10364,13,2086,3,808
1996-02-12,Brule,1273,1925,0,217,0,3
1996-02-12,Buffalo,200,569,0,37,0,173
1996-02-12,Butte,3178,1227,12,362,0,126
1996-02-12,Campbell,1250,212,0,40,0,0
1996-02-12,Charles Mix,1912,2929,2,201,0,208
1996-02-12,Clark,1659,1054,0,160,0,37
1996-02-12,Clay,3569,3666,10,1409,0,0
1996-02-12,Codington,6024,6149,7,1920,1,477
1996-02-12,Corson,841,1027,0,147,0,118
1996-02-12,Custer,2757,1241,13,634,0,0
1996-02-12,Davison,4517,4505,7,1009,0,630
1996-02-12,Day,1769,2427,0,280,0,221
1996-02-12,Deuel,1343,1263,4,337,0,84
1996-02-12,Dewey,979,1862,0,224,0,465
1996-02-12,Douglas,1803,531,0,74,0,73
1996-02-12,Edmunds,1469,1365,0,178,1,61
1996-02-12,Fall River,2620,1663,6,554,13,0
1996-02-12,Faulk,956,770,0,59,0,0
1996-02-12,Grant,2464,2202,0,579,1,243
1996-02-12,Gregory,1650,1554,0,175,0,88
1996-02-12,Haakon,1141,423,0,56,0,0
1996-02-12,Hamlin,2109,1249,2,282,0,42
1996-02-12,Hand,1552,1258,0,177,0,61
1996-02-12,Hanson,721,906,1,332,0,64
1996-02-12,Harding,765,225,0,29,0,32
1996-02-12,Hughes,6626,2720,9,841,0,264
1996-02-12,Hutchinson,3830,1299,2,182,0,0
1996-02-12,Hyde,678,441,0,67,9,20
1996-02-12,Jackson,940,565,1,127,0,0
1996-02-12,Jerauld,840,726,1,113,1,20
1996-02-12,Jones,666,203,1,30,0,0
1996-02-12,Kingsbury,2336,1320,1,281,0,74
1996-02-12,Lake,3481,2687,1,477,0,208
1996-02-12,Lawrence,7212,4118,44,1445,3,521
1996-02-12,Lincoln,5576,3808,7,1097,0,351
1996-02-12,Lyman,1211,796,3,88,0,40
1996-02-12,Marshall,1180,1517,2,129,0,81
1996-02-12,McCook,1775,1549,1,310,0,105
1996-02-12,McPherson,1707,433,0,123,0,13
1996-02-12,Meade,7565,4097,11,1704,0,465
1996-02-12,Mellette,678,598,0,65,0,128
1996-02-12,Miner,727,1050,0,172,0,50
1996-02-12,Minnehaha,36746,32991,143,7770,34,3654
1996-02-12,Moody,1545,1926,1,380,0,0
1996-02-12,Pennington,24773,15035,159,6232,43,5955
1996-02-12,Perkins,1447,897,1,145,0,54
1996-02-12,Potter,1499,606,0,99,0,54
1996-02-12,Roberts,1969,3202,2,535,1,0
1996-02-12,Sanborn,985,831,3,84,0,62
1996-02-12,Shannon,560,3007,9,610,6,0
1996-02-12,Spink,2156,2385,2,430,0,126
1996-02-12,Stanley,1066,704,0,164,0,0
1996-02-12,Sully,684,442,0,54,0,29
1996-02-12,Todd,737,2248,3,513,0,0
1996-02-12,Tripp,2375,1636,0,286,0,164
1996-02-12,Turner,3272,1803,1,352,0,170
1996-02-12,Union,2826,3277,5,953,0,202
1996-02-12,Walworth,2621,1118,1,283,0,0
1996-02-12,Yankton,5618,4961,6,1208,1,255
1996-02-12,Ziebach,455,676,0,120,0,65
