date,county,republican,democratic,libertarian,other,inactive
1996-05-20,Aurora,852,1130,1,80,7
1996-05-20,Beadle,4577,5666,23,1281,583
1996-05-20,Bennett,733,972,,141,14
1996-05-20,Bon Homme,2386,1930,4,252,194
1996-05-20,Brookings,7568,5410,37,2763,631
1996-05-20,Brown,9251,10408,13,2105,795
1996-05-20,Brule,1293,1934,,225,3
1996-05-20,Buffalo,201,615,,47,157
1996-05-20,Butte,3247,1247,12,362,114
1996-05-20,Campbell,1257,216,,38,
1996-05-20,Charles Mix,1931,2970,1,287,
1996-05-20,Clark,1667,1055,,161,56
1996-05-20,Clay,3616,3708,10,1445,148
1996-05-20,Codington,6120,6308,7,1948,470
1996-05-20,Corson,866,1089,,175,115
1996-05-20,Custer,2825,1276,13,654,
1996-05-20,Davison,4599,4534,9,1033,615
1996-05-20,Day,1773,2452,,290,212
1996-05-20,Deuel,1348,1296,4,349,78
1996-05-20,Dewey,968,1836,,233,141
1996-05-20,Douglas,1835,531,,78,72
1996-05-20,Edmunds,1484,1380,,185,61
1996-05-20,Fall River,2663,1677,8,596,2
1996-05-20,Faulk,959,771,,64,
1996-05-20,Grant,2491,2205,,579,240
1996-05-20,Gregory,1672,1555,1,179,84
1996-05-20,Haakon,1158,413,,58,
1996-05-20,Hamlin,2121,1252,1,288,39
1996-05-20,Hand,1559,1257,1,177,61
1996-05-20,Hanson,725,905,1,336,64
1996-05-20,Harding,768,226,,30,32
1996-05-20,Hughes,6709,2741,9,838,263
1996-05-20,Hutchinson,3891,1307,3,186,267
1996-05-20,Hyde,681,440,,74,21
1996-05-20,Jackson,958,585,1,130,
1996-05-20,Jerauld,839,723,1,112,18
1996-05-20,Jones,661,193,1,30,6
1996-05-20,Kingsbury,2357,1335,1,286,70
1996-05-20,Lake,3528,2916,2,480,205
1996-05-20,Lawrence,7504,4112,45,1479,514
1996-05-20,Lincoln,5802,3884,1,1157,347
1996-05-20,Lyman,1239,895,2,94,38
1996-05-20,Marshall,1183,1555,2,141,81
1996-05-20,Mccook,1808,1550,1,315,102
1996-05-20,McPherson,1717,428,,128,13
1996-05-20,Meade,7810,4146,11,1815,460
1996-05-20,Mellette,677,601,,70,128
1996-05-20,Miner,719,1065,,175,48
1996-05-20,Minnehaha,37137,33288,149,8219,4122
1996-05-20,Moody,1557,1925,1,400,1
1996-05-20,Pennington,26051,15469,160,6678,5307
1996-05-20,Perkins,1422,867,1,147,137
1996-05-20,Potter,1523,600,,99,54
1996-05-20,Roberts,1974,3340,2,558,
1996-05-20,Sanborn,1001,842,3,89,61
1996-05-20,Shannon,590,3377,9,715,10
1996-05-20,Spink,2219,2369,2,434,124
1996-05-20,Stanley,1091,704,,168,
1996-05-20,Sully,697,437,,54,28
1996-05-20,Todd,765,2313,3,549,
1996-05-20,Tripp,2337,1574,,266,161
1996-05-20,Turner,3326,1812,2,376,165
1996-05-20,Union,2912,3304,5,976,202
1996-05-20,Walworth,2642,1135,1,297,
1996-05-20,Yankton,5692,5059,4,1250,258
1996-05-20,Ziebach,448,738,,118,64
