date,county,republican,democratic,libertarian,active,inactive
1998-10-19,Aurora,856,1143,1,109,61
1998-10-19,Beadle,4523,5561,34,1420,1246
1998-10-19,Bennett,714,1011,0,209,154
1998-10-19,Bon Homme,2279,1880,6,273,369
1998-10-19,Brookings,7706,5600,70,2999,2128
1998-10-19,Brown,9256,10386,16,2441,2249
1998-10-19,Brule,1317,1815,3,262,274
1998-10-19,Buffalo,193,737,0,58,40
1998-10-19,Butte,3479,1413,30,537,110
1998-10-19,Campbell,1156,218,1,34,101
1998-10-19,Charles Mix,2149,3352,3,444,509
1998-10-19,Clark,1650,1045,0,190,182
1998-10-19,Clay,3379,3630,15,1490,1095
1998-10-19,Codington,6418,6509,25,2179,1232
1998-10-19,Corson,800,1143,32,232,270
1998-10-19,Custer,2868,1247,15,715,224
1998-10-19,Davison,4738,4680,16,1227,1104
1998-10-19,Day,1746,2441,0,341,387
1998-10-19,Deuel,1299,1256,4,394,205
1998-10-19,Dewey,960,2035,2,323,347
1998-10-19,Douglas,1765,498,0,92,182
1998-10-19,Edmunds,1454,1468,0,183,191
1998-10-19,Fall River,2674,1566,14,701,497
1998-10-19,Faulk,894,730,2,143,95
1998-10-19,Grant,2417,2053,0,662,622
1998-10-19,Gregory,1760,1587,2,225,64
1998-10-19,Haakon,1165,409,0,60,86
1998-10-19,Hamlin,1997,1220,2,325,214
1998-10-19,Hand,1574,1146,1,200,177
1998-10-19,Hanson,761,879,1,413,131
1998-10-19,Harding,768,206,0,40,64
1998-10-19,Hughes,7087,2960,12,1021,310
1998-10-19,Hutchinson,3877,1329,6,235,373
1998-10-19,Hyde,724,476,2,83,38
1998-10-19,Jackson,907,640,1,130,142
1998-10-19,Jerauld,855,714,1,103,11
1998-10-19,Jones,637,201,1,36,22
1998-10-19,Kingsbury,2341,1355,3,363,169
1998-10-19,Lake,3701,2961,5,601,596
1998-10-19,Lawrence,7637,4124,59,1731,1364
1998-10-19,Lincoln,6554,4279,6,1537,924
1998-10-19,Lyman,1244,921,1,121,80
1998-10-19,Marshall,1282,1561,2,161,215
1998-10-19,McCook,1844,1559,2,353,230
1998-10-19,McPherson,1628,432,0,152,119
1998-10-19,Meade,7489,3868,31,2021,2342
1998-10-19,Mellette,604,562,1,92,36
1998-10-19,Miner,709,1039,0,194,103
1998-10-19,Minnehaha,38312,34064,170,9807,8351
1998-10-19,Moody,1531,1893,1,464,278
1998-10-19,Pennington,27035,16254,270,8016,7744
1998-10-19,Perkins,1444,860,4,209,167
1998-10-19,Potter,1504,589,1,110,134
1998-10-19,Roberts,1871,3379,0,667,379
1998-10-19,Sanborn,988,830,2,83,109
1998-10-19,Shannon,526,3731,9,696,798
1998-10-19,Spink,2187,2253,4,439,376
1998-10-19,Stanley,1079,719,0,155,160
1998-10-19,Sully,735,426,4,60,56
1998-10-19,Todd,771,2462,2,645,621
1998-10-19,Tripp,2308,1533,0,282,335
1998-10-19,Turner,3333,1899,3,455,386
1998-10-19,Union,3319,3358,6,1267,627
1998-10-19,Walworth,2690,1187,13,364,308
1998-10-19,Yankton,5723,5065,3,1429,1198
1998-10-19,Ziebach,433,848,4,155,106
