date,county,,republican,democratic,libertarian,reform,other,inactive
2000-05-22,Aurora,2012,820,1084,1,0,107,162
2000-05-22,Beadle,11361,4435,5397,32,0,1497,1008
2000-05-22,Bennett,1912,681,1006,0,0,225,219
2000-05-22,Bon Homme,4457,2281,1850,7,0,319,239
2000-05-22,Brookings,16278,7522,5642,78,7,3029,2525
2000-05-22,Brown,21840,9082,10177,17,9,2555,2407
2000-05-22,Brule,3392,1313,1804,3,0,272,357
2000-05-22,Buffalo,933,183,682,0,0,68,63
2000-05-22,Butte,5707,3588,1478,34,2,605,107
2000-05-22,Campbell,1396,1136,217,2,0,41,89
2000-05-22,Charles Mix,5513,1943,3143,2,0,425,686
2000-05-22,Clark,2811,1549,1079,0,0,183,227
2000-05-22,Clay,8112,3180,3447,21,1,1463,1548
2000-05-22,Codington,15016,6341,6412,23,3,2237,1308
2000-05-22,Corson,2184,783,1112,29,1,259,256
2000-05-22,Custer,4796,2800,1228,18,3,747,419
2000-05-22,Davison,11057,4968,4738,16,0,1335,750
2000-05-22,Day,4417,1683,2365,0,0,369,334
2000-05-22,Deuel,2943,1291,1241,3,0,408,216
2000-05-22,Dewey,3380,970,2025,2,0,383,247
2000-05-22,Douglas,2379,1787,487,0,0,105,141
2000-05-22,Edmunds,3038,1422,1422,0,0,194,201
2000-05-22,Fall River,4908,2645,1497,16,0,750,713
2000-05-22,Faulk,1763,913,676,2,0,172,71
2000-05-22,Grant,5123,2409,2030,0,2,682,340
2000-05-22,Gregory,3432,1670,1525,2,0,235,137
2000-05-22,Haakon,1557,1116,385,0,0,56,167
2000-05-22,Hamlin,3578,2005,1220,3,0,350,144
2000-05-22,Hand,2921,1590,1122,1,0,208,162
2000-05-22,Hanson,2243,841,940,1,0,461,66
2000-05-22,Harding,955,734,184,0,0,37,92
2000-05-22,Hughes,10598,6809,2793,9,0,987,801
2000-05-22,Hutchinson,5584,3870,1404,6,0,304,206
2000-05-22,Hyde,1239,710,447,2,2,78,73
2000-05-22,Jackson,1684,881,659,2,0,142,101
2000-05-22,Jerauld,1639,836,698,1,0,104,27
2000-05-22,Jones,844,622,188,1,0,33,59
2000-05-22,Kingsbury,4051,2307,1357,4,0,383,146
2000-05-22,Lake,7183,3619,2947,6,4,607,639
2000-05-22,Lawrence,13859,7766,4100,76,3,1914,1651
2000-05-22,Lincoln,13127,6925,4418,11,2,1771,1352
2000-05-22,Lyman,2299,1227,943,1,0,128,86
2000-05-22,Marshall,2869,1223,1485,1,0,160,363
2000-05-22,Mccook,3914,1891,1595,3,1,424,279
2000-05-22,Mcpherson,2216,1612,419,0,0,185,142
2000-05-22,Meade,13704,7712,3805,32,8,2147,2342
2000-05-22,Mellette,1228,593,540,0,0,95,73
2000-05-22,Miner,1921,696,1012,1,0,212,116
2000-05-22,Minnehaha,80742,37482,33083,179,31,9967,10418
2000-05-22,Moody,3671,1451,1777,1,0,442,266
2000-05-22,Pennington,48213,25254,14857,268,10,7824,12679
2000-05-22,Perkins,2404,1400,798,4,0,202,100
2000-05-22,Potter,2124,1442,576,1,0,105,168
2000-05-22,Roberts,5853,1839,3306,1,2,705,420
2000-05-22,Sanborn,1950,1011,841,2,0,96,102
2000-05-22,Shannon,5160,540,3807,9,0,804,718
2000-05-22,Spink,4708,2082,2179,3,3,441,454
2000-05-22,Stanley,1987,1089,740,0,0,158,154
2000-05-22,Sully,1190,718,396,3,0,73,31
2000-05-22,Todd,3840,759,2432,1,0,648,481
2000-05-22,Tripp,3885,2175,1437,0,0,273,414
2000-05-22,Turner,5666,3304,1870,3,0,489,410
2000-05-22,Union,8188,3459,3339,7,3,1380,727
2000-05-22,Walworth,3947,2485,1087,10,0,365,186
2000-05-22,Yankton,12618,6047,4984,4,0,1583,1156
2000-05-22,Ziebach,1412,421,824,3,0,164,85
