date,county,republican,democratic,libertarian,reform,other,inactive
2000-10-23,Aurora,827,1113,1,0,113,154
2000-10-23,Beadle,4593,5465,37,0,1593,973
2000-10-23,Bennett,705,1028,2,1,235,215
2000-10-23,Bon Homme,2300,1886,7,0,336,293
2000-10-23,Brookings,7970,5913,80,10,3369,2456
2000-10-23,Brown,9490,10471,24,8,2899,2323
2000-10-23,Brule,1315,1799,4,2,294,346
2000-10-23,Buffalo,182,687,0,2,64,59
2000-10-23,Butte,3740,1519,35,2,652,106
2000-10-23,Campbell,1158,221,2,0,44,89
2000-10-23,Charles Mix,2012,3172,4,0,465,739
2000-10-23,Clark,1579,1112,1,0,197,209
2000-10-23,Clay,3539,3771,28,1,1686,1452
2000-10-23,Codington,6691,6656,24,4,2450,1250
2000-10-23,Corson,797,1213,27,1,284,237
2000-10-23,Custer,2974,1302,21,3,862,411
2000-10-23,Davison,5255,4935,19,0,1481,728
2000-10-23,Day,1740,2368,0,0,400,329
2000-10-23,Deuel,1323,1250,3,1,451,208
2000-10-23,Dewey,986,2100,2,1,407,217
2000-10-23,Douglas,1815,487,0,0,120,137
2000-10-23,Edmunds,1470,1416,2,0,224,200
2000-10-23,Fall River,2720,1517,16,0,810,704
2000-10-23,Faulk,921,682,2,3,194,68
2000-10-23,Grant,2454,2065,1,2,733,322
2000-10-23,Gregory,1717,1525,2,0,254,134
2000-10-23,Haakon,1141,391,0,0,58,160
2000-10-23,Hamlin,2069,1261,3,1,397,138
2000-10-23,Hand,1628,1116,2,0,229,160
2000-10-23,Hanson,898,957,1,0,481,65
2000-10-23,Harding,753,187,0,0,40,87
2000-10-23,Hughes,7039,2870,13,0,1086,780
2000-10-23,Hutchinson,3912,1438,5,0,321,196
2000-10-23,Hyde,723,447,2,2,79,71
2000-10-23,Jackson,892,656,1,0,159,98
2000-10-23,Jerauld,818,674,1,0,105,54
2000-10-23,Jones,623,191,1,0,39,59
2000-10-23,Kingsbury,2331,1357,4,2,410,143
2000-10-23,Lake,3750,3051,6,4,693,612
2000-10-23,Lawrence,8168,4280,83,3,2106,1624
2000-10-23,Lincoln,7594,4729,16,3,2094,1314
2000-10-23,Lyman,1234,960,1,1,133,83
2000-10-23,Marshall,1235,1518,1,1,181,350
2000-10-23,McCook,1935,1613,3,1,432,267
2000-10-23,McPherson,1587,411,0,0,199,137
2000-10-23,Meade,8339,3972,37,8,2457,2783
2000-10-23,Mellette,616,553,0,0,100,72
2000-10-23,Miner,703,1010,1,0,236,113
2000-10-23,Minnehaha,39619,34545,204,36,11482,9985
2000-10-23,Moody,1500,1900,1,0,506,257
2000-10-23,Pennington,27972,16073,286,13,9092,10362
2000-10-23,Perkins,1434,794,5,1,208,95
2000-10-23,Potter,1463,583,1,0,120,154
2000-10-23,Roberts,1934,3351,1,2,810,403
2000-10-23,Sanborn,1008,852,2,0,106,99
2000-10-23,Shannon,563,3909,10,0,856,682
2000-10-23,Spink,2125,2209,3,3,472,426
2000-10-23,Stanley,1128,752,0,0,174,149
2000-10-23,Sully,725,402,3,0,82,30
2000-10-23,Todd,776,2464,3,0,680,466
2000-10-23,Tripp,2234,1449,0,0,289,398
2000-10-23,Turner,3361,1907,3,1,536,399
2000-10-23,Union,3661,3438,7,3,1494,707
2000-10-23,Walworth,2498,1115,10,4,390,179
2000-10-23,Yankton,6204,5221,7,0,1781,1130
2000-10-23,Ziebach,440,850,3,0,183,83
