date,county,republican,democratic,libertarian,constitution,other,inactive
2004-10-18,Aurora,853,1089,2,0,131,116
2004-10-18,Beadle,4748,4990,25,1,1521,955
2004-10-18,Bennett,754,1492,2,0,202,186
2004-10-18,Bon Homme,2140,1861,3,0,423,170
2004-10-18,Brookings,7755,5811,61,2,3601,2719
2004-10-18,Brown,9940,10608,34,0,3116,1844
2004-10-18,Brule,1369,1770,4,2,371,24
2004-10-18,Buffalo,173,909,0,0,107,43
2004-10-18,Butte,3658,1301,34,2,806,485
2004-10-18,Campbell,1014,195,3,4,51,112
2004-10-18,Charles Mix,2052,3454,3,0,473,511
2004-10-18,Clark,1656,1063,3,0,212,112
2004-10-18,Clay,3425,3938,23,0,1837,1636
2004-10-18,Codington,7306,6671,20,2,2520,1234
2004-10-18,Corson,767,1608,12,0,307,212
2004-10-18,Custer,3304,1320,18,0,925,650
2004-10-18,Davison,5402,4522,14,2,1434,994
2004-10-18,Day,1688,2350,1,0,429,346
2004-10-18,Deuel,1317,1224,2,0,523,157
2004-10-18,Dewey,910,2865,4,0,473,150
2004-10-18,Douglas,1775,496,0,0,140,39
2004-10-18,Edmunds,1487,1273,3,2,220,224
2004-10-18,Fall River,2788,1478,18,0,913,499
2004-10-18,Faulk,876,634,0,0,258,68
2004-10-18,Grant,2407,2023,1,0,830,482
2004-10-18,Gregory,1766,1469,3,0,281,22
2004-10-18,Haakon,1169,348,0,2,75,50
2004-10-18,Hamlin,2100,1258,3,1,371,271
2004-10-18,Hand,1553,1059,2,0,239,137
2004-10-18,Hanson,1196,1106,3,0,614,59
2004-10-18,Harding,784,173,0,0,44,77
2004-10-18,Hughes,7269,2817,21,4,1136,787
2004-10-18,Hutchinson,3548,1338,5,0,305,555
2004-10-18,Hyde,707,395,0,0,75,82
2004-10-18,Jackson,835,858,1,0,200,197
2004-10-18,Jerauld,825,686,0,0,129,1
2004-10-18,Jones,627,172,1,0,48,52
2004-10-18,Kingsbury,2180,1288,5,0,348,436
2004-10-18,Lake,3801,3170,17,2,780,536
2004-10-18,Lawrence,8529,4284,89,1,2330,2227
2004-10-18,Lincoln,10971,6312,26,7,3145,1434
2004-10-18,Lyman,1208,1274,1,3,161,101
2004-10-18,Marshall,1139,1553,3,0,191,296
2004-10-18,McCook,2002,1648,5,2,477,175
2004-10-18,McPherson,1562,386,1,0,183,123
2004-10-18,Meade,8729,3662,31,1,2470,3180
2004-10-18,Mellette,595,677,1,0,126,110
2004-10-18,Miner,710,966,2,0,232,130
2004-10-18,Minnehaha,44088,37173,237,38,14343,10037
2004-10-18,Moody,1612,2190,1,0,665,253
2004-10-18,Pennington,29530,16735,252,10,10887,9191
2004-10-18,Perkins,1395,702,1,6,234,220
2004-10-18,Potter,1392,531,0,0,106,140
2004-10-18,Roberts,1996,3779,6,1,892,476
2004-10-18,Sanborn,964,825,3,0,127,104
2004-10-18,Shannon,588,6223,12,0,1161,356
2004-10-18,Spink,2157,2071,4,0,484,353
2004-10-18,Stanley,1176,702,1,1,171,67
2004-10-18,Sully,713,349,4,0,82,79
2004-10-18,Todd,836,4117,4,0,707,208
2004-10-18,Tripp,2257,1524,0,2,330,147
2004-10-18,Turner,3364,1958,5,0,734,262
2004-10-18,Union,4106,3376,6,0,1769,985
2004-10-18,Walworth,2467,1137,12,0,435,326
2004-10-18,Yankton,6131,5214,33,3,1841,1781
2004-10-18,Ziebach,439,1073,0,0,215,189
