date,county,republican,democratic,constitution,libertarian,other,independent,inactive
2008-11-04,Minnehaha,45048,42746,118,243,139,18394,7450
2008-11-04,Pennington,31198,19220,29,208,0,12084,6288
2008-11-04,Brown,9800,10928,2,40,29,3260,1996
2008-11-04,Beadle,4663,5052,5,22,115,1629,700
2008-11-04,Codington,7353,6914,3,22,13,2804,1201
2008-11-04,Brookings,7930,6889,7,59,34,4467,1936
2008-11-04,Yankton,6052,5577,10,32,10,2190,2029
2008-11-04,Davison,5460,4747,7,12,7,1719,401
2008-11-04,Lawrence,8882,5094,7,84,27,2870,1292
2008-11-04,Aurora,788,1017,0,3,0,171,103
2008-11-04,Bennett,712,1254,0,2,0,193,263
2008-11-04,Bon Homme,1951,1736,0,5,0,443,249
2008-11-04,Brule,1388,1715,6,3,1,445,121
2008-11-04,Buffalo,173,858,0,0,0,100,40
2008-11-04,Butte,3776,1411,10,33,0,931,1066
2008-11-04,Campbell,979,202,4,4,2,65,40
2008-11-04,Charles Mix,2093,3237,0,2,1,501,511
2008-11-04,Clark,1578,1033,0,2,1,218,134
2008-11-04,Clay,2879,4139,1,28,13,2088,1552
2008-11-04,Corson,715,1550,0,9,6,300,170
2008-11-04,Custer,3394,1500,14,14,2,965,576
2008-11-04,Day,1576,2382,1,1,0,473,257
2008-11-04,Deuel,1269,1231,4,2,0,556,181
2008-11-04,Dewey,798,2555,0,2,1,419,77
2008-11-04,Douglas,1688,491,0,0,0,149,46
2008-11-04,Edmunds,1472,1162,1,1,4,238,147
2008-11-04,Fall River,2875,1548,1,15,17,976,529
2008-11-04,Faulk,838,579,0,1,2,269,60
2008-11-04,Grant,2262,2118,1,2,3,906,412
2008-11-04,Gregory,1550,1280,1,1,0,221,369
2008-11-04,Haakon,1144,304,0,0,0,66,60
2008-11-04,Hamlin,2094,1174,3,1,1,413,374
2008-11-04,Hand,1471,1007,1,1,0,230,158
2008-11-04,Hanson,1488,1255,2,5,0,808,212
2008-11-04,Harding,722,153,0,0,0,58,111
2008-11-04,Hughes,6935,2940,3,14,4,1267,1102
2008-11-04,Hutchinson,3457,1388,4,8,0,386,327
2008-11-04,Hyde,703,321,0,2,6,57,113
2008-11-04,Jackson,816,729,0,2,0,180,203
2008-11-04,Jerauld,744,664,0,1,0,150,58
2008-11-04,Jones,577,159,0,4,0,61,43
2008-11-04,Kingsbury,1985,1352,0,2,63,357,186
2008-11-04,Lake,3798,3347,4,14,9,1013,522
2008-11-04,Lincoln,13536,8413,20,40,14,4663,1296
2008-11-04,Lyman,1136,1229,3,1,1,169,259
2008-11-04,McCook,1918,1588,6,3,0,526,155
2008-11-04,McPherson,1430,382,0,1,2,164,136
2008-11-04,Marshall,1156,1640,1,4,1,266,85
2008-11-04,Meade,8887,4164,6,33,80,2580,4263
2008-11-04,Mellette,569,636,0,1,0,133,39
2008-11-04,Miner,620,910,0,3,1,228,137
2008-11-04,Moody,1501,2230,0,4,0,714,376
2008-11-04,Perkins,1369,657,6,1,1,243,207
2008-11-04,Potter,1333,502,1,0,0,109,148
2008-11-04,Roberts,1922,3926,9,5,6,964,561
2008-11-04,Sanborn,909,774,0,3,0,124,102
2008-11-04,Spink,2101,1988,1,5,4,487,293
2008-11-04,Stanley,1237,650,1,2,0,195,176
2008-11-04,Sully,678,310,0,4,0,76,58
2008-11-04,Tripp,2196,1424,2,0,0,353,215
2008-11-04,Turner,3153,1919,4,9,0,778,353
2008-11-04,Union,4557,3749,4,9,1,2175,984
2008-11-04,Walworth,2326,1086,2,7,0,441,432
2008-11-04,Ziebach,386,983,0,1,0,221,203
2008-11-04,Shannon,657,6256,0,12,53,1064,649
2008-11-04,Todd,877,4039,0,5,0,710,378
