date,county,republican,democratic,libertarian,constitution,other,independent,inactive
2010-10-18,Aurora,764,961,3,0,0,183,133
2010-10-18,Beadle,4443,4698,23,4,96,1643,1148
2010-10-18,Bennett,655,1024,1,0,0,191,517
2010-10-18,Bon Homme,1882,1673,8,1,0,491,217
2010-10-18,Brookings,7641,6559,49,8,29,4439,2287
2010-10-18,Brown,9413,10349,43,3,20,3193,2766
2010-10-18,Brule,1399,1619,5,6,1,471,204
2010-10-18,Buffalo,158,801,0,0,0,91,129
2010-10-18,Butte,3830,1427,32,8,0,1024,442
2010-10-18,Campbell,981,187,4,3,0,78,46
2010-10-18,Charles Mix,2042,2952,1,1,4,561,876
2010-10-18,Clark,1521,993,1,1,2,230,144
2010-10-18,Clay,2629,3841,28,1,12,1952,1451
2010-10-18,Codington,7140,6495,25,7,11,2840,1786
2010-10-18,Corson,674,1413,7,1,4,296,398
2010-10-18,Custer,3316,1387,16,12,3,1011,535
2010-10-18,Davison,5173,4385,13,4,16,1713,1300
2010-10-18,Day,1500,2266,3,1,0,504,396
2010-10-18,Deuel,1224,1161,2,4,0,576,216
2010-10-18,Dewey,735,2362,1,0,9,388,244
2010-10-18,Douglas,1646,450,1,0,0,146,112
2010-10-18,Edmunds,1422,1108,2,0,4,251,148
2010-10-18,Fall River,2822,1336,13,3,13,955,755
2010-10-18,Faulk,838,554,1,0,3,268,24
2010-10-18,Grant,2308,1963,2,2,3,884,445
2010-10-18,Gregory,1502,1202,1,0,0,221,425
2010-10-18,Haakon,1091,275,0,0,0,70,115
2010-10-18,Hamlin,2118,1135,0,3,1,476,245
2010-10-18,Hand,1401,936,1,1,1,239,197
2010-10-18,Hanson,1551,1121,5,1,0,785,244
2010-10-18,Harding,717,149,0,0,0,67,38
2010-10-18,Hughes,6807,2717,19,3,4,1268,1297
2010-10-18,Hutchinson,3167,1212,7,5,0,382,738
2010-10-18,Hyde,719,265,2,0,4,58,110
2010-10-18,Jackson,842,697,2,0,0,199,192
2010-10-18,Jerauld,614,608,1,0,0,142,172
2010-10-18,Jones,551,145,6,1,0,65,56
2010-10-18,Kingsbury,1860,1252,2,1,1,437,339
2010-10-18,Lake,3816,3277,20,4,8,1228,783
2010-10-18,Lawrence,8958,5006,82,9,18,3078,1139
2010-10-18,Lincoln,13943,8427,45,24,24,5106,2301
2010-10-18,Lyman,1086,1109,3,2,1,188,270
2010-10-18,Marshall,1067,1473,4,0,1,306,335
2010-10-18,McCook,1798,1446,5,7,0,534,315
2010-10-18,McPherson,1324,359,1,0,2,163,186
2010-10-18,Meade,8917,4025,39,12,0,2803,3763
2010-10-18,Mellette,543,578,1,0,0,116,150
2010-10-18,Miner,595,872,2,0,1,223,155
2010-10-18,Minnehaha,44451,41679,241,121,157,19142,10128
2010-10-18,Moody,1499,2066,8,0,0,737,478
2010-10-18,Pennington,31467,18791,202,34,104,12515,6311
2010-10-18,Perkins,1321,610,2,4,0,259,174
2010-10-18,Potter,1284,465,0,0,0,110,133
2010-10-18,Roberts,1848,3665,7,9,5,984,937
2010-10-18,Sanborn,840,730,1,0,0,137,145
2010-10-18,Shannon,571,5813,8,0,46,1092,1279
2010-10-18,Spink,2118,1794,6,3,1,480,366
2010-10-18,Stanley,1239,638,3,1,0,194,242
2010-10-18,Sully,667,300,2,0,0,85,50
2010-10-18,Todd,795,3579,4,0,12,616,981
2010-10-18,Tripp,2154,1310,4,2,0,381,354
2010-10-18,Turner,3139,1819,5,5,1,785,426
2010-10-18,Union,4641,3421,12,5,1,2227,1360
2010-10-18,Walworth,2295,1021,6,2,0,444,529
2010-10-18,Yankton,5947,5310,34,7,8,2363,1378
2010-10-18,Ziebach,390,943,3,0,5,212,206
