date,county,republican,democratic,libertarian,constitution,americans_elect,npa_ind,inactive
2014-06-03,Aurora,743,861,2,,,222,99
2014-06-03,Beadle,4295,3946,26,3,,1882,746
2014-06-03,Bennett,670,933,2,1,,242,153
2014-06-03,Bon Homme,1840,1499,11,1,,515,214
2014-06-03,Brookings,7107,5634,50,26,,4375,2736
2014-06-03,Brown,9332,9310,50,8,,3473,2223
2014-06-03,Brule,1326,1408,7,5,,439,244
2014-06-03,Buffalo,154,648,1,,,88,20
2014-06-03,Butte,3870,1264,31,12,,1226,446
2014-06-03,Campbell,877,171,1,,,86,71
2014-06-03,Charles Mix,2156,2765,3,2,,682,359
2014-06-03,Clark,1372,861,3,2,,275,134
2014-06-03,Clay,2410,3104,20,4,,1770,954
2014-06-03,Codington,7053,5742,27,23,,3241,1708
2014-06-03,Corson,643,1308,8,1,,332,157
2014-06-03,Custer,3309,1227,16,13,,1199,454
2014-06-03,Davison,5144,3922,19,2,2,1974,1045
2014-06-03,Day,1447,2071,4,3,,554,116
2014-06-03,Deuel,1188,1009,5,9,,647,164
2014-06-03,Dewey,669,2099,,1,,437,44
2014-06-03,Douglas,1597,377,1,,,152,98
2014-06-03,Edmunds,1412,999,3,,,389,123
2014-06-03,Fall River,2691,1113,7,2,1,999,680
2014-06-03,Faulk,814,463,1,1,,254,78
2014-06-03,Grant,2205,1695,8,5,,895,315
2014-06-03,Gregory,1442,1035,2,2,,266,208
2014-06-03,Haakon,1011,232,1,,,87,45
2014-06-03,Hamlin,2235,952,1,3,,563,97
2014-06-03,Hand,1372,792,2,1,,240,124
2014-06-03,Hanson,1620,966,2,3,,743,416
2014-06-03,Harding,730,126,1,,,69,35
2014-06-03,Hughes,6685,2462,28,6,,1454,644
2014-06-03,Hutchinson,3104,1097,4,3,,481,230
2014-06-03,Hyde,664,242,2,,,76,43
2014-06-03,Jackson,808,657,4,,,200,210
2014-06-03,Jerauld,610,535,2,2,,163,68
2014-06-03,Jones,522,129,2,1,,67,23
2014-06-03,Kingsbury,1779,1129,4,5,,463,147
2014-06-03,Lake,4016,3136,26,8,,1564,588
2014-06-03,Lawrence,8456,4232,79,18,,3269,2848
2014-06-03,Lincoln,15376,8355,57,27,,6622,1481
2014-06-03,Lyman,1076,980,4,1,,225,139
2014-06-03,Marshall,1054,1342,6,,,396,173
2014-06-03,McCook,1748,1257,5,6,,559,150
2014-06-03,McPherson,1241,297,1,,,223,117
2014-06-03,Meade,8615,3341,53,47,,2777,1634
2014-06-03,Mellette,515,554,1,1,,134,3
2014-06-03,Miner,563,750,3,1,,256,112
2014-06-03,Minnehaha,44581,39383,327,169,2,22390,11345
2014-06-03,Moody,1440,1779,8,,,822,240
2014-06-03,Pennington,31283,16742,239,125,,14254,5342
2014-06-03,Perkins,1306,530,4,3,,265,92
2014-06-03,Potter,1298,360,,1,,139,60
2014-06-03,Roberts,1802,3387,8,4,,1059,608
2014-06-03,Sanborn,790,614,1,1,,154,102
2014-06-03,Shannon,578,5814,7,1,1,1339,293
2014-06-03,Spink,1978,1618,5,1,,571,277
2014-06-03,Stanley,1228,511,5,,,232,78
2014-06-03,Sully,696,246,1,,,85,14
2014-06-03,Todd,706,3138,5,4,,676,605
2014-06-03,Tripp,2131,1117,6,8,,446,187
2014-06-03,Turner,2997,1640,3,4,,888,237
2014-06-03,Union,4872,3060,15,7,,2506,1113
2014-06-03,Walworth,2313,931,6,4,,455,208
2014-06-03,Yankton,5810,4676,37,8,,2641,881
2014-06-03,Ziebach,395,881,4,,,260,139
