date,county,constitution,americans_elect,libertarian,democratic,republican,npa_ind,inactive
2014-11-04,Aurora,,,2,861,762,216,97
2014-11-04,Beadle,3,,26,3895,4394,1985,723
2014-11-04,Bennett,1,,2,934,669,245,154
2014-11-04,Bon Homme,1,,10,1476,1857,534,206
2014-11-04,Brookings,30,,52,5650,7223,4610,2649
2014-11-04,Brown,8,,56,9336,9531,3608,2162
2014-11-04,Brule,6,,9,1386,1362,458,236
2014-11-04,Buffalo,,,,686,153,94,18
2014-11-04,Butte,12,,31,1245,3917,1270,449
2014-11-04,Campbell,,,1,168,888,91,68
2014-11-04,Charles Mix,2,,3,2710,2170,700,485
2014-11-04,Clark,2,,3,847,1388,309,131
2014-11-04,Clay,4,,20,3114,2448,1895,930
2014-11-04,Codington,19,,29,5683,7144,3441,1631
2014-11-04,Corson,1,,7,1335,677,377,149
2014-11-04,Custer,12,,13,1226,3443,1239,461
2014-11-04,Davison,2,2,20,3876,5241,2069,1012
2014-11-04,Day,3,,5,2047,1429,585,181
2014-11-04,Deuel,9,,6,999,1177,670,158
2014-11-04,Dewey,1,,1,2172,692,499,47
2014-11-04,Douglas,,,1,373,1613,167,96
2014-11-04,Edmunds,,,5,988,1426,418,119
2014-11-04,Fall River,2,1,12,1101,2748,1048,655
2014-11-04,Faulk,1,,1,457,808,268,71
2014-11-04,Grant,5,,8,1692,2234,917,298
2014-11-04,Gregory,2,,2,1033,1448,271,199
2014-11-04,Haakon,,,1,227,1014,95,43
2014-11-04,Hamlin,3,,1,912,2351,564,93
2014-11-04,Hand,1,,2,755,1440,245,119
2014-11-04,Hanson,3,,3,953,1646,730,398
2014-11-04,Harding,1,,3,117,748,74,34
2014-11-04,Hughes,6,,29,2454,6819,1516,619
2014-11-04,Hutchinson,3,,4,1106,3132,522,217
2014-11-04,Hyde,,,2,237,665,82,44
2014-11-04,Jackson,,,4,684,823,230,191
2014-11-04,Jerauld,2,,2,525,605,168,64
2014-11-04,Jones,1,,2,122,511,69,23
2014-11-04,Kingsbury,4,,4,1126,1795,496,138
2014-11-04,Lake,7,,28,3182,4172,1745,563
2014-11-04,Lawrence,22,,81,4209,8679,3393,2790
2014-11-04,Lincoln,27,,58,8523,15771,7033,1433
2014-11-04,Lyman,1,,5,968,1090,243,134
2014-11-04,Marshall,,,6,1343,1069,427,165
2014-11-04,McCook,6,,8,1243,1756,581,143
2014-11-04,McPherson,,,2,292,1249,238,114
2014-11-04,Meade,44,,62,3356,8833,2938,1596
2014-11-04,Mellette,1,,1,567,524,140,3
2014-11-04,Miner,2,,3,736,571,265,107
2014-11-04,Minnehaha,171,3,357,39646,45449,24190,10966
2014-11-04,Moody,,,8,1793,1466,840,228
2014-11-04,Pennington,115,1,262,16875,32160,14996,5198
2014-11-04,Perkins,3,,5,511,1330,292,90
2014-11-04,Potter,2,,,359,1327,146,59
2014-11-04,Roberts,4,,8,3433,1807,1130,583
2014-11-04,Sanborn,1,,1,597,787,164,92
2014-11-04,Shannon,1,1,11,6051,591,1535,268
2014-11-04,Spink,1,,4,1625,1995,594,268
2014-11-04,Stanley,1,,8,505,1261,233,73
2014-11-04,Sully,,,,235,713,92,22
2014-11-04,Todd,4,,6,3348,724,793,573
2014-11-04,Tripp,8,,5,1091,2151,472,191
2014-11-04,Turner,4,,5,1641,3032,924,224
2014-11-04,Union,5,,16,3052,4965,2644,1082
2014-11-04,Walworth,5,,6,912,2375,447,207
2014-11-04,Yankton,9,,36,4656,5909,2797,844
2014-11-04,Ziebach,,,3,908,397,270,134
