date,county,democratic,republican,npa_ind_oth,inactive
2016-01-08,Aurora,817,749,233,110
2016-01-08,Beadle,3586,4252,1970,1178
2016-01-08,Bennett,893,647,268,233
2016-01-08,Bon Homme,1392,1811,574,242
2016-01-08,Brookings,5239,7009,4682,2860
2016-01-08,Brown,9150,9624,3957,2034
2016-01-08,Brule,1332,1378,523,222
2016-01-08,Buffalo,675,157,99,22
2016-01-08,Butte,1155,3894,1359,534
2016-01-08,Campbell,150,861,91,117
2016-01-08,Charles Mix,2471,2130,698,495
2016-01-08,Clark,797,1351,328,196
2016-01-08,Clay,2919,2326,1932,1284
2016-01-08,Codington,5314,7053,3522,1829
2016-01-08,Corson,1284,666,387,209
2016-01-08,Custer,1188,3396,1321,621
2016-01-08,Davison,3615,5145,2204,1262
2016-01-08,Day,2005,1450,628,193
2016-01-08,Deuel,934,1168,667,239
2016-01-08,Dewey,2075,678,510,178
2016-01-08,Douglas,350,1549,172,166
2016-01-08,Edmunds,927,1392,437,193
2016-01-08,Fall River,997,2660,1097,681
2016-01-08,Faulk,432,802,267,112
2016-01-08,Grant,1574,2198,905,523
2016-01-08,Gregory,1017,1432,290,172
2016-01-08,Haakon,226,994,106,52
2016-01-08,Hamlin,841,2303,573,249
2016-01-08,Hand,710,1422,258,177
2016-01-08,Hanson,909,1610,737,465
2016-01-08,Harding,113,745,72,72
2016-01-08,Hughes,2314,6601,1610,1069
2016-01-08,Hutchinson,1074,3031,522,298
2016-01-08,Hyde,230,654,97,50
2016-01-08,Jackson,683,834,257,86
2016-01-08,Jerauld,496,576,167,84
2016-01-08,Jones,109,513,65,39
2016-01-08,Kingsbury,1082,1738,530,236
2016-01-08,Lake,3062,4244,1954,608
2016-01-08,Lawrence,3903,8429,3487,2205
2016-01-08,Lincoln,8332,15962,7425,2764
2016-01-08,Lyman,895,1086,260,176
2016-01-08,Marshall,1258,1016,426,281
2016-01-08,McCook,1181,1709,604,277
2016-01-08,McPherson,292,1241,250,89
2016-01-08,Meade,3156,8733,3170,2037
2016-01-08,Mellette,511,487,128,93
2016-01-08,Miner,692,566,266,131
2016-01-08,Minnehaha,37281,44686,26158,12790
2016-01-08,Moody,1689,1418,866,335
2016-01-08,Oglala Lakota,5686,575,1615,624
2016-01-08,Pennington,16636,32693,16867,7013
2016-01-08,Perkins,476,1319,307,183
2016-01-08,Potter,346,1312,159,60
2016-01-08,Roberts,3324,1796,1185,563
2016-01-08,Sanborn,542,780,189,86
2016-01-08,Spink,1569,1927,594,306
2016-01-08,Stanley,501,1299,260,14
2016-01-08,Sully,242,727,106,28
2016-01-08,Todd,3169,692,767,785
2016-01-08,Tripp,1028,2114,497,317
2016-01-08,Turner,1507,2919,933,446
2016-01-08,Union,2854,4868,2721,1449
2016-01-08,Walworth,835,2329,441,370
2016-01-08,Yankton,4384,5692,2915,1473
2016-01-08,Ziebach,874,385,258,137
