date,county,constitution,democratic,republican,other,npa_ind,inactive
2016-05-02,Aurora,,819,765,6,234,105
2016-05-02,Beadle,4,3573,4319,65,1933,1157
2016-05-02,Bennett,,884,659,3,264,229
2016-05-02,Bon Homme,2,1392,1851,11,572,233
2016-05-02,Brookings,27,5302,7148,70,4771,2768
2016-05-02,Brown,7,8885,9544,92,3779,2671
2016-05-02,Brule,5,1334,1418,12,525,216
2016-05-02,Buffalo,,652,164,2,98,49
2016-05-02,Butte,6,1161,3990,32,1324,526
2016-05-02,Campbell,,146,878,,92,113
2016-05-02,Charles Mix,2,2442,2155,2,731,488
2016-05-02,Clark,2,795,1357,4,338,191
2016-05-02,Clay,4,2951,2372,35,1931,1255
2016-05-02,Codington,18,5274,7216,56,3501,1783
2016-05-02,Corson,2,1257,670,11,382,234
2016-05-02,Custer,13,1186,3501,29,1287,618
2016-05-02,Davison,2,3590,5220,34,2224,1222
2016-05-02,Day,2,1977,1457,18,614,224
2016-05-02,Deuel,7,919,1194,6,666,236
2016-05-02,Dewey,1,2082,697,5,501,172
2016-05-02,Douglas,,344,1553,2,181,160
2016-05-02,Edmunds,,911,1418,12,432,190
2016-05-02,Fall River,1,1023,2711,44,1066,670
2016-05-02,Faulk,1,423,816,1,279,112
2016-05-02,Grant,4,1566,2238,18,905,523
2016-05-02,Gregory,2,996,1485,5,300,167
2016-05-02,Haakon,,218,1015,1,120,50
2016-05-02,Hamlin,3,836,2322,3,571,244
2016-05-02,Hand,1,703,1452,4,256,170
2016-05-02,Hanson,2,900,1654,5,725,493
2016-05-02,Harding,,114,757,3,72,71
2016-05-02,Hughes,4,2348,6662,38,1596,1050
2016-05-02,Hutchinson,5,1056,3082,8,543,305
2016-05-02,Hyde,,233,643,6,92,49
2016-05-02,Jackson,1,686,845,23,257,88
2016-05-02,Jerauld,2,486,592,1,167,82
2016-05-02,Jones,1,104,513,1,65,38
2016-05-02,Kingsbury,2,1068,1767,5,544,231
2016-05-02,Lake,6,3094,4358,37,1953,596
2016-05-02,Lawrence,11,3935,8569,94,3509,2171
2016-05-02,Lincoln,29,8434,16333,87,7605,2703
2016-05-02,Lyman,1,888,1096,6,256,170
2016-05-02,Marshall,,1242,1031,13,430,278
2016-05-02,McCook,6,1158,1759,9,596,273
2016-05-02,McPherson,,301,1254,3,256,84
2016-05-02,Meade,38,3166,8903,72,3152,2016
2016-05-02,Mellette,1,510,485,1,137,90
2016-05-02,Miner,2,681,567,3,263,125
2016-05-02,Minnehaha,146,37441,45182,475,26302,12513
2016-05-02,Moody,1,1677,1451,10,879,326
2016-05-02,Oglala Lakota,1,5671,576,73,1581,620
2016-05-02,Pennington,95,16926,33265,409,16767,6828
2016-05-02,Perkins,3,467,1342,7,301,175
2016-05-02,Potter,2,333,1336,2,161,58
2016-05-02,Roberts,2,3312,1835,25,1176,550
2016-05-02,Sanborn,1,539,800,3,190,84
2016-05-02,Spink,1,1565,1961,10,620,288
2016-05-02,Stanley,1,499,1326,4,249,20
2016-05-02,Sully,,241,749,2,109,27
2016-05-02,Todd,4,3155,696,14,761,776
2016-05-02,Tripp,6,1018,2153,2,490,304
2016-05-02,Turner,2,1498,2968,11,944,433
2016-05-02,Union,7,2870,4988,34,2771,1428
2016-05-02,Walworth,5,834,2379,8,439,364
2016-05-02,Yankton,6,4362,5780,51,2939,1436
2016-05-02,Ziebach,,886,387,6,258,134
