date,county,constitution,democratic,republican,other,libertarian,npa_ind,inactive
2016-08-04,Aurora,,825,776,3,1,237,100
2016-08-04,Beadle,4,3568,4350,42,20,1964,1119
2016-08-04,Bennett,,875,678,2,,271,222
2016-08-04,Bon Homme,2,1397,1879,1,10,594,226
2016-08-04,Brookings,24,5386,7251,17,56,4875,2708
2016-08-04,Brown,7,8921,9723,40,54,3886,2611
2016-08-04,Brule,5,1340,1437,1,11,534,212
2016-08-04,Buffalo,,654,164,2,,102,49
2016-08-04,Butte,8,1153,4039,5,27,1342,516
2016-08-04,Campbell,,146,892,,,91,109
2016-08-04,Charles Mix,2,2434,2175,,2,758,480
2016-08-04,Clark,2,792,1366,2,2,346,186
2016-08-04,Clay,3,3004,2408,7,26,1946,1224
2016-08-04,Codington,15,5282,7392,28,31,3557,1741
2016-08-04,Corson,2,1273,673,5,7,390,226
2016-08-04,Custer,13,1190,3577,20,12,1315,597
2016-08-04,Davison,2,3617,5275,19,17,2269,1198
2016-08-04,Day,2,1968,1475,12,7,619,212
2016-08-04,Deuel,7,912,1213,2,6,669,228
2016-08-04,Dewey,1,2098,695,4,2,534,166
2016-08-04,Douglas,,346,1558,,2,182,157
2016-08-04,Edmunds,,881,1507,6,7,416,185
2016-08-04,Fall River,1,1026,2770,29,14,1107,660
2016-08-04,Faulk,1,428,828,,1,280,109
2016-08-04,Grant,2,1567,2297,11,9,928,499
2016-08-04,Gregory,2,985,1491,,4,302,165
2016-08-04,Haakon,,213,1035,,1,118,48
2016-08-04,Hamlin,3,840,2373,1,2,580,239
2016-08-04,Hand,1,700,1462,1,3,260,167
2016-08-04,Hanson,2,899,1684,2,4,738,492
2016-08-04,Harding,,111,767,,3,74,69
2016-08-04,Hughes,4,2389,6743,12,29,1661,1020
2016-08-04,Hutchinson,5,1042,3127,4,4,563,300
2016-08-04,Hyde,1,227,654,4,2,95,47
2016-08-04,Jackson,1,702,848,18,4,267,85
2016-08-04,Jerauld,3,486,602,,1,172,80
2016-08-04,Jones,1,107,515,,1,68,36
2016-08-04,Kingsbury,2,1066,1782,2,4,560,221
2016-08-04,Lake,5,3154,4463,5,31,2052,581
2016-08-04,Lawrence,11,3980,8738,18,78,3561,2126
2016-08-04,Lincoln,29,8573,16636,16,72,7880,2639
2016-08-04,Lyman,1,872,1124,2,4,257,165
2016-08-04,Marshall,,1242,1042,4,7,443,270
2016-08-04,McCook,5,1169,1772,,9,615,264
2016-08-04,McPherson,,296,1325,,3,231,83
2016-08-04,Meade,35,3183,9160,8,65,3246,1967
2016-08-04,Mellette,1,511,488,,1,135,87
2016-08-04,Miner,2,684,580,,2,269,123
2016-08-04,Minnehaha,140,37887,45742,130,338,27025,12211
2016-08-04,Moody,1,1698,1474,3,6,889,319
2016-08-04,Oglala Lakota,1,5693,570,63,7,1643,615
2016-08-04,Pennington,93,17313,33968,119,301,17363,6650
2016-08-04,Perkins,3,449,1383,3,6,296,173
2016-08-04,Potter,2,325,1355,2,,164,57
2016-08-04,Roberts,4,3350,1862,18,8,1211,537
2016-08-04,Sanborn,1,540,814,2,1,198,82
2016-08-04,Spink,,1562,1982,7,4,633,280
2016-08-04,Stanley,1,499,1341,,4,258,20
2016-08-04,Sully,,240,749,1,,110,27
2016-08-04,Todd,4,3143,703,10,5,772,762
2016-08-04,Tripp,7,1026,2188,1,1,507,289
2016-08-04,Turner,2,1512,2977,8,3,984,427
2016-08-04,Union,7,2880,5102,13,22,2836,1412
2016-08-04,Walworth,5,829,2404,1,6,437,353
2016-08-04,Yankton,8,4384,5875,14,42,3021,1395
2016-08-04,Ziebach,,897,391,5,1,275,122
