date,county,republican,libertarian,democratic,constitution,npa_ind,other,inactive
2017-07-05,Aurora,805,1,812,,255,3,41
2017-07-05,Beadle,4432,21,3537,6,2141,42,933
2017-07-05,Bennett,688,1,882,,333,2,112
2017-07-05,Bon Homme,1968,12,1377,2,647,1,185
2017-07-05,Brookings,7633,79,5449,23,5382,22,1033
2017-07-05,Brown,10174,63,8881,7,4358,37,1327
2017-07-05,Brule,1467,11,1309,5,562,2,32
2017-07-05,Buffalo,169,1,661,,111,2,33
2017-07-05,Butte,4127,34,1158,8,1439,5,198
2017-07-05,Campbell,912,,136,,95,,96
2017-07-05,Charles Mix,2281,4,2423,2,835,,399
2017-07-05,Clark,1400,2,780,3,383,2,103
2017-07-05,Clay,2516,37,3072,3,2174,7,1152
2017-07-05,Codington,7764,30,5224,15,3909,31,1510
2017-07-05,Corson,680,7,1253,2,424,7,208
2017-07-05,Custer,3758,17,1214,11,1454,21,540
2017-07-05,Davison,5484,21,3595,3,2485,24,539
2017-07-05,Day,1533,9,1932,2,682,12,98
2017-07-05,Deuel,1288,8,891,7,716,1,208
2017-07-05,Dewey,712,3,2087,1,570,4,136
2017-07-05,Douglas,1563,2,336,,197,,119
2017-07-05,Edmunds,1512,8,848,,433,7,92
2017-07-05,Fall River,2906,16,1025,2,1225,28,320
2017-07-05,Faulk,859,1,417,1,311,,88
2017-07-05,Grant,2340,9,1531,2,982,12,339
2017-07-05,Gregory,1525,5,964,2,316,,53
2017-07-05,Haakon,1059,1,199,,129,,44
2017-07-05,Hamlin,2448,1,811,3,614,1,156
2017-07-05,Hand,1475,4,682,1,281,1,60
2017-07-05,Hanson,1731,3,889,2,793,2,186
2017-07-05,Harding,775,2,107,,79,,35
2017-07-05,Hughes,6912,36,2426,5,1851,15,525
2017-07-05,Hutchinson,3193,4,1057,7,630,4,191
2017-07-05,Hyde,663,2,228,,105,3,41
2017-07-05,Jackson,865,4,707,1,295,18,76
2017-07-05,Jerauld,595,1,477,2,184,,45
2017-07-05,Jones,519,1,97,,82,,18
2017-07-05,Kingsbury,1825,5,1036,1,613,2,104
2017-07-05,Lake,4700,37,3153,5,2376,6,252
2017-07-05,Lawrence,9146,93,4015,11,4007,19,1941
2017-07-05,Lincoln,17637,85,8936,29,8930,26,2382
2017-07-05,Lyman,1130,4,865,1,283,2,79
2017-07-05,Marshall,1076,9,1236,,498,1,136
2017-07-05,McCook,1816,14,1144,6,695,,119
2017-07-05,McPherson,1311,2,292,,233,,20
2017-07-05,Meade,9677,80,3226,33,3696,5,863
2017-07-05,Mellette,499,1,514,1,142,,75
2017-07-05,Miner,587,2,655,2,290,1,32
2017-07-05,Minnehaha,47357,400,38281,134,30534,162,11223
2017-07-05,Moody,1530,7,1699,3,945,3,161
2017-07-05,Oglala Lakota,566,11,5711,2,1787,59,500
2017-07-05,Pennington,34978,354,17363,86,19024,145,2930
2017-07-05,Perkins,1417,6,440,3,342,4,89
2017-07-05,Potter,1374,1,310,2,173,2,2
2017-07-05,Roberts,1900,9,3338,4,1305,19,353
2017-07-05,Sanborn,847,3,523,1,225,3,30
2017-07-05,Spink,2024,5,1540,1,676,5,258
2017-07-05,Stanley,1372,4,496,2,288,,16
2017-07-05,Sully,767,,240,,116,1,14
2017-07-05,Todd,725,6,3154,3,848,9,717
2017-07-05,Tripp,2231,3,992,7,531,1,270
2017-07-05,Turner,3043,6,1494,3,1065,10,205
2017-07-05,Union,5393,27,2895,8,3115,14,794
2017-07-05,Walworth,2438,6,799,5,467,1,353
2017-07-05,Yankton,6063,49,4381,8,3299,16,603
2017-07-05,Ziebach,409,3,892,,295,5,68
