date,county,republican,libertarian,democratic,constitution,other,npa_ind,inactive
2018-06-01,Aurora,795,1,757,,3,256,91
2018-06-01,Beadle,4305,18,3353,5,43,2142,941
2018-06-01,Bennett,666,2,821,,2,320,206
2018-06-01,Bon Homme,2033,11,1246,2,,619,311
2018-06-01,Brookings,7454,72,5114,21,23,5161,1745
2018-06-01,Brown,10182,60,8143,7,40,4160,2442
2018-06-01,Brule,1438,9,1205,5,2,543,233
2018-06-01,Buffalo,167,1,619,,1,113,82
2018-06-01,Butte,3811,31,973,8,5,1276,976
2018-06-01,Campbell,892,,122,,,85,121
2018-06-01,Charles Mix,2309,3,2347,2,,852,436
2018-06-01,Clark,1362,3,727,3,2,367,202
2018-06-01,Clay,2375,34,2833,3,8,2120,921
2018-06-01,Codington,8036,28,4668,13,25,3613,1753
2018-06-01,Corson,641,7,1175,2,7,428,260
2018-06-01,Custer,3755,20,1128,6,19,1381,824
2018-06-01,Davison,5297,18,3274,3,27,2409,1198
2018-06-01,Day,1503,9,1783,2,12,660,282
2018-06-01,Deuel,1305,9,824,7,1,677,291
2018-06-01,Dewey,709,3,2003,1,5,554,202
2018-06-01,Douglas,1554,2,317,,,193,155
2018-06-01,Edmunds,1471,9,792,,5,398,192
2018-06-01,Fall River,2886,22,939,2,21,1173,612
2018-06-01,Faulk,1060,,266,1,,244,93
2018-06-01,Grant,2268,8,1422,2,11,927,556
2018-06-01,Gregory,1492,5,920,2,,313,131
2018-06-01,Haakon,1050,1,185,1,,135,39
2018-06-01,Hamlin,2492,2,717,1,2,563,269
2018-06-01,Hand,1442,3,631,1,1,259,129
2018-06-01,Hanson,1570,3,783,3,2,684,567
2018-06-01,Harding,755,,102,,,80,68
2018-06-01,Hughes,6873,34,2299,4,11,1804,841
2018-06-01,Hutchinson,3240,3,1030,7,4,688,181
2018-06-01,Hyde,647,,210,,3,102,90
2018-06-01,Jackson,810,3,632,1,13,300,156
2018-06-01,Jerauld,640,3,464,1,,183,43
2018-06-01,Jones,514,1,91,,,81,37
2018-06-01,Kingsbury,1949,9,911,1,1,565,216
2018-06-01,Lake,4637,33,2876,2,4,2345,1067
2018-06-01,Lawrence,8811,95,3604,12,17,3851,2137
2018-06-01,Lincoln,17541,97,8593,35,30,9014,3076
2018-06-01,Lyman,1108,5,822,,1,261,148
2018-06-01,Marshall,1063,9,1194,,1,489,215
2018-06-01,McCook,1785,15,1065,6,,702,238
2018-06-01,McPherson,1253,8,271,,1,222,122
2018-06-01,Meade,9666,82,2978,28,6,3718,1580
2018-06-01,Mellette,475,1,472,1,,138,133
2018-06-01,Miner,589,2,616,1,1,280,76
2018-06-01,Minnehaha,45485,421,35476,129,155,30225,15207
2018-06-01,Moody,1493,6,1598,4,4,932,320
2018-06-01,Oglala Lakota,523,10,5356,2,48,1791,900
2018-06-01,Pennington,34036,362,15849,88,143,18642,7998
2018-06-01,Perkins,1390,6,400,3,5,336,171
2018-06-01,Potter,1297,1,279,2,2,152,107
2018-06-01,Roberts,1919,6,3071,4,17,1270,656
2018-06-01,Sanborn,827,3,487,1,3,221,81
2018-06-01,Spink,2151,5,1335,,4,609,341
2018-06-01,Stanley,1321,2,444,2,,280,140
2018-06-01,Sully,756,,211,,1,112,53
2018-06-01,Todd,673,6,2903,3,7,857,742
2018-06-01,Tripp,2198,4,904,7,1,537,316
2018-06-01,Turner,3031,7,1426,2,11,1085,320
2018-06-01,Union,5288,24,2678,12,12,3072,1425
2018-06-01,Walworth,2405,7,775,4,1,477,317
2018-06-01,Yankton,6114,51,4020,5,14,3239,1191
2018-06-01,Ziebach,402,4,836,,3,283,146
