date,county,libertarian,republican,democratic,npa_ind,constitution,other,inactive
2018-11-02,Aurora,1,794,739,267,,4,88
2018-11-02,Beadle,16,4327,3291,2153,5,39,1033
2018-11-02,Bennett,2,686,816,338,,2,211
2018-11-02,Bon Homme,11,2076,1240,607,2,,296
2018-11-02,Brookings,70,7717,5221,5327,27,22,1689
2018-11-02,Brown,62,10406,8234,4295,7,40,2358
2018-11-02,Brule,10,1462,1191,568,5,2,216
2018-11-02,Buffalo,1,169,627,138,,1,77
2018-11-02,Butte,31,3888,972,1301,9,5,955
2018-11-02,Campbell,,908,120,84,,,119
2018-11-02,Charles Mix,3,2375,2413,889,2,,411
2018-11-02,Clark,3,1385,717,375,3,2,196
2018-11-02,Clay,36,2447,2930,2225,3,10,897
2018-11-02,Codington,29,8188,4742,3690,13,25,1680
2018-11-02,Corson,8,651,1195,465,2,7,246
2018-11-02,Custer,23,3894,1151,1430,10,21,802
2018-11-02,Davison,20,5440,3280,2494,3,28,1158
2018-11-02,Day,11,1535,1761,659,2,12,274
2018-11-02,Deuel,9,1347,813,689,7,,276
2018-11-02,Dewey,3,727,2066,585,,7,195
2018-11-02,Douglas,2,1582,316,203,,,146
2018-11-02,Edmunds,8,1494,776,409,,4,179
2018-11-02,Fall River,23,2987,950,1202,4,23,600
2018-11-02,Faulk,,1042,280,248,1,,88
2018-11-02,Grant,9,2315,1416,946,2,11,539
2018-11-02,Gregory,5,1551,914,336,2,,125
2018-11-02,Haakon,2,1064,180,137,1,1,37
2018-11-02,Hamlin,2,2538,728,565,,2,259
2018-11-02,Hand,3,1452,621,255,1,1,124
2018-11-02,Hanson,3,1614,809,743,3,2,557
2018-11-02,Harding,2,774,102,82,,,67
2018-11-02,Hughes,43,6962,2369,1875,4,18,803
2018-11-02,Hutchinson,3,3272,1023,723,7,3,167
2018-11-02,Hyde,,660,206,102,,3,86
2018-11-02,Jackson,6,828,654,301,1,12,145
2018-11-02,Jerauld,3,628,465,193,1,,43
2018-11-02,Jones,1,508,89,90,,,34
2018-11-02,Kingsbury,11,1961,925,585,,1,207
2018-11-02,Lake,35,4546,2759,2303,3,6,1046
2018-11-02,Lawrence,101,9097,3698,3982,11,19,2083
2018-11-02,Lincoln,117,18284,8906,9435,34,33,2979
2018-11-02,Lyman,6,1123,824,280,,1,141
2018-11-02,Marshall,8,1087,1186,508,,1,199
2018-11-02,McCook,11,1827,1052,728,6,,253
2018-11-02,McPherson,8,1257,269,225,,1,116
2018-11-02,Meade,88,9965,3035,3843,31,9,1543
2018-11-02,Mellette,1,484,483,157,1,,132
2018-11-02,Miner,2,622,620,312,2,1,68
2018-11-02,Minnehaha,449,46890,36208,31870,138,171,14683
2018-11-02,Moody,6,1515,1591,957,4,4,353
2018-11-02,Oglala Lakota,11,518,5478,1855,2,50,859
2018-11-02,Pennington,384,35331,16507,19623,94,150,7733
2018-11-02,Perkins,5,1388,394,344,3,5,164
2018-11-02,Potter,1,1318,284,147,2,2,103
2018-11-02,Roberts,9,1974,3071,1320,4,17,630
2018-11-02,Sanborn,3,838,474,227,1,2,78
2018-11-02,Spink,5,2157,1343,635,,4,323
2018-11-02,Stanley,2,1371,449,280,2,,129
2018-11-02,Sully,,756,211,120,,1,51
2018-11-02,Todd,3,685,2987,922,4,6,710
2018-11-02,Tripp,3,2231,914,548,8,1,298
2018-11-02,Turner,8,3095,1417,1109,2,11,306
2018-11-02,Union,24,5443,2730,3177,11,11,1477
2018-11-02,Walworth,8,2435,765,484,4,3,304
2018-11-02,Yankton,57,6211,4077,3378,5,14,1156
2018-11-02,Ziebach,5,394,894,313,,4,136
