date,county,libertarian,republican,democratic,npa_ind,other,inactive
2019-07-01,Aurora,1,808,732,273,4,74
2019-07-01,Beadle,17,4353,3251,2238,42,236
2019-07-01,Bennett,2,691,804,346,2,130
2019-07-01,Bon Homme,10,2086,1217,621,3,179
2019-07-01,Brookings,74,7875,5217,5475,47,1640
2019-07-01,Brown,65,10566,8179,4404,50,2171
2019-07-01,Brule,9,1482,1170,587,6,85
2019-07-01,Buffalo,1,165,615,141,1,72
2019-07-01,Butte,34,3930,949,1296,16,1030
2019-07-01,Campbell,,902,128,86,,57
2019-07-01,Charles Mix,4,2337,2264,851,2,607
2019-07-01,Clark,2,1406,703,372,5,101
2019-07-01,Clay,38,2470,2943,2274,14,318
2019-07-01,Codington,29,8275,4702,3754,38,887
2019-07-01,Corson,9,661,1221,478,9,234
2019-07-01,Custer,23,3941,1150,1475,31,794
2019-07-01,Davison,22,5492,3248,2564,32,1066
2019-07-01,Day,8,1563,1723,671,14,262
2019-07-01,Deuel,9,1365,811,684,6,258
2019-07-01,Dewey,3,731,2065,604,8,75
2019-07-01,Douglas,1,1593,310,209,,35
2019-07-01,Edmunds,8,1507,764,414,4,77
2019-07-01,Fall River,25,3047,947,1234,28,395
2019-07-01,Faulk,,1047,271,247,,35
2019-07-01,Grant,9,2347,1387,954,12,210
2019-07-01,Gregory,5,1576,889,343,2,114
2019-07-01,Haakon,3,1069,174,143,2,14
2019-07-01,Hamlin,2,2553,714,569,3,111
2019-07-01,Hand,3,1454,603,260,2,121
2019-07-01,Hanson,3,1664,801,762,8,550
2019-07-01,Harding,2,781,100,86,,30
2019-07-01,Hughes,39,6996,2386,1916,23,773
2019-07-01,Hutchinson,3,3262,989,751,10,27
2019-07-01,Hyde,,659,197,106,3,9
2019-07-01,Jackson,6,835,643,312,12,116
2019-07-01,Jerauld,3,626,453,189,2,21
2019-07-01,Jones,1,507,89,93,,18
2019-07-01,Kingsbury,11,1986,913,592,1,203
2019-07-01,Lake,31,4495,2704,2253,9,803
2019-07-01,Lawrence,104,9214,3748,4110,32,1900
2019-07-01,Lincoln,119,18822,9027,9898,62,2871
2019-07-01,Lyman,6,1135,805,291,1,11
2019-07-01,Marshall,8,1102,1167,520,1,174
2019-07-01,McCook,11,1846,1033,749,6,238
2019-07-01,McPherson,8,1255,263,233,1,114
2019-07-01,Meade,91,10166,3067,3981,44,178
2019-07-01,Mellette,1,488,476,171,1,24
2019-07-01,Miner,2,638,602,321,2,60
2019-07-01,Minnehaha,481,47917,36371,33475,315,14093
2019-07-01,Moody,6,1528,1579,991,6,310
2019-07-01,Oglala Lakota,12,526,5514,1918,52,543
2019-07-01,Pennington,417,36232,16792,20719,261,7493
2019-07-01,Perkins,5,1412,383,352,9,79
2019-07-01,Potter,1,1321,281,145,4,94
2019-07-01,Roberts,11,2004,3057,1344,21,25
2019-07-01,Sanborn,3,842,460,227,3,62
2019-07-01,Spink,5,2181,1320,646,5,303
2019-07-01,Stanley,2,1372,441,284,2,113
2019-07-01,Sully,2,747,210,126,3,44
2019-07-01,Todd,4,684,3032,968,11,665
2019-07-01,Tripp,3,2233,884,575,10,286
2019-07-01,Turner,10,3115,1400,1140,14,118
2019-07-01,Union,27,5564,2762,3348,21,1447
2019-07-01,Walworth,7,2444,778,491,7,294
2019-07-01,Yankton,57,6326,4061,3500,20,1099
2019-07-01,Ziebach,5,400,889,320,4,76
