county,libertarian,republican,democratic,npa_ind,other,inactive
Aurora,1,806,702,267,2,106
Beadle,15,4285,3147,2199,39,481
Bennett,2,681,778,322,1,198
Bon Homme,8,2063,1156,598,2,271
Brookings,71,7773,5102,5361,42,1261
Brown,62,10403,7952,4326,46,2797
Brule,8,1453,1115,564,5,203
Buffalo,1,158,588,137,1,100
Butte,34,3840,902,1264,16,1274
Campbell,,889,124,83,,89
Charles Mix,3,2301,2124,820,2,479
Clark,2,1381,675,353,7,170
Clay,31,2402,2826,2128,14,788
Codington,31,8239,4566,3701,33,1326
Corson,8,647,1151,474,7,213
Custer,22,3876,1104,1467,31,1028
Davison,19,5468,3136,2528,33,1337
Day,6,1538,1641,644,11,223
Deuel,9,1395,803,701,6,142
Dewey,4,708,1982,576,8,213
Douglas,1,1579,296,210,,59
Edmunds,6,1481,733,376,4,171
Fall River,26,2967,890,1186,33,668
Faulk,,1030,256,231,,69
Grant,9,2311,1329,945,11,327
Gregory,5,1584,881,362,2,73
Haakon,3,1034,163,135,2,69
Hamlin,3,2521,671,545,2,238
Hand,2,1431,576,242,2,174
Hanson,2,1630,770,752,8,662
Harding,3,768,98,88,,61
Hughes,40,7021,2376,1941,24,533
Hutchinson,3,3282,973,752,9,32
Hyde,,654,190,105,3,17
Jackson,6,827,640,307,12,111
Jerauld,7,605,432,174,2,66
Jones,1,502,88,94,,29
Kingsbury,11,1988,895,588,2,231
Lake,26,4208,2501,1988,6,1442
Lawrence,98,9128,3628,4066,35,2496
Lincoln,121,18554,8967,9749,63,4194
Lyman,5,1108,776,281,1,72
Marshall,8,1077,1115,513,4,244
McCook,11,1837,1009,729,5,195
McPherson,8,1230,244,223,1,171
Meade,91,10057,2989,3851,41,852
Mellette,1,483,469,173,1,47
Miner,2,635,570,319,2,89
Minnehaha,470,47154,35221,32606,297,18471
Moody,7,1503,1539,963,4,408
Oglala Lakota,13,492,5238,1837,54,948
Pennington,430,36136,16665,20782,258,9128
Perkins,5,1406,361,335,8,142
Potter,1,1284,258,143,3,161
Roberts,9,1985,2903,1293,20,280
Sanborn,3,832,443,224,3,92
Spink,5,2141,1285,626,4,162
Stanley,2,1347,418,269,3,185
Sully,2,728,205,125,3,79
Todd,4,660,2858,912,9,932
Tripp,3,2165,832,547,8,418
Turner,11,3074,1368,1129,14,205
Union,27,5525,2702,3313,18,1634
Walworth,7,2448,780,498,8,283
Yankton,54,6221,3975,3453,18,1470
Ziebach,5,386,855,307,4,126
