date,county,republican,libertarian,democratic,npa_ind,other,inactive
2022-06-01,Aurora,902,1,609,282,2,102
2022-06-01,Beadle,4637,23,2820,2312,41,651
2022-06-01,Bennett,711,3,720,365,2,195
2022-06-01,Bon Homme,2192,10,988,664,3,311
2022-06-01,Brookings,8694,88,5125,5838,34,1501
2022-06-01,Brown,11585,94,7670,4867,48,1905
2022-06-01,Brule,1623,11,996,593,5,125
2022-06-01,Buffalo,170,1,593,157,3,76
2022-06-01,Butte,4146,50,849,1356,17,1358
2022-06-01,Campbell,905,,104,96,,99
2022-06-01,Charles Mix,2535,8,1964,837,5,421
2022-06-01,Clark,1515,4,606,377,14,178
2022-06-01,Clay,2746,40,2928,2340,19,761
2022-06-01,Codington,9195,54,4188,3906,30,1626
2022-06-01,Corson,705,5,1069,499,3,233
2022-06-01,Custer,4482,30,1120,1608,33,1145
2022-06-01,Davison,6070,27,2946,2704,35,1291
2022-06-01,Day,1736,10,1438,702,16,161
2022-06-01,Deuel,1576,10,689,688,7,187
2022-06-01,Dewey,726,3,1905,638,7,248
2022-06-01,Douglas,1646,,248,205,,68
2022-06-01,Edmunds,1648,6,602,389,3,193
2022-06-01,Fall River,3497,33,900,1336,34,613
2022-06-01,Faulk,1074,,213,228,2,57
2022-06-01,Grant,2523,13,1195,977,11,387
2022-06-01,Gregory,1682,3,712,371,,179
2022-06-01,Haakon,1113,3,136,125,1,63
2022-06-01,Hamlin,2796,6,627,585,1,162
2022-06-01,Hand,1548,7,456,223,4,126
2022-06-01,Hanson,1724,5,687,774,12,549
2022-06-01,Harding,797,5,74,90,,60
2022-06-01,Hughes,7128,51,2246,2089,21,889
2022-06-01,Hutchinson,3270,8,799,740,6,205
2022-06-01,Hyde,663,,170,111,3,28
2022-06-01,Jackson,854,9,635,317,9,79
2022-06-01,Jerauld,636,6,386,185,2,67
2022-06-01,Jones,509,1,76,76,1,44
2022-06-01,Kingsbury,2186,5,779,600,3,317
2022-06-01,Lake,4057,28,2134,1646,8,1876
2022-06-01,Lawrence,10511,144,3686,4691,45,2233
2022-06-01,Lincoln,21642,205,9651,11026,65,4706
2022-06-01,Lyman,1125,7,742,328,1,67
2022-06-01,Marshall,1189,6,1044,528,3,228
2022-06-01,McCook,2142,13,866,744,7,137
2022-06-01,McPherson,1274,8,225,216,2,208
2022-06-01,Meade,11670,135,3055,4517,35,837
2022-06-01,Mellette,497,3,424,192,1,78
2022-06-01,Miner,720,4,487,308,4,86
2022-06-01,Minnehaha,52986,644,36513,36704,321,17360
2022-06-01,Moody,1677,12,1394,999,4,359
2022-06-01,Oglala Lakota,519,18,5335,1958,47,851
2022-06-01,Pennington,41919,608,17508,23065,269,9994
2022-06-01,Perkins,1467,5,295,323,6,200
2022-06-01,Potter,1323,4,221,158,4,142
2022-06-01,Roberts,2070,13,2693,1377,22,418
2022-06-01,Sanborn,915,5,380,252,4,103
2022-06-01,Spink,2364,8,1142,606,8,219
2022-06-01,Stanley,1455,3,365,271,11,221
2022-06-01,Sully,779,4,187,133,3,63
2022-06-01,Todd,680,6,2844,975,8,868
2022-06-01,Tripp,2293,8,685,550,9,445
2022-06-01,Turner,3319,10,1243,1161,17,207
2022-06-01,Union,5858,33,2504,3583,13,2121
2022-06-01,Walworth,2385,10,652,465,8,541
2022-06-01,Yankton,6959,67,3633,3686,14,1607
2022-06-01,Ziebach,408,7,796,369,3,118
