date,county,democratic,libertarian,republican,npa_ind,other,inactive,total
2022-09-01,Aurora,593,3,906,291,2,97,1795
2022-09-01,Beadle,2785,23,4739,2307,37,644,9891
2022-09-01,Bennett,725,3,719,368,2,193,1817
2022-09-01,Bon Homme,968,10,2211,662,2,307,3853
2022-09-01,Brookings,5110,89,8827,5900,32,1486,19958
2022-09-01,Brown,7618,91,11726,4930,47,1892,24412
2022-09-01,Brule,989,12,1644,607,6,124,3258
2022-09-01,Buffalo,590,1,166,162,3,75,922
2022-09-01,Butte,837,51,4222,1378,15,1339,6503
2022-09-01,Campbell,102,,923,92,,96,1117
2022-09-01,Charles Mix,1933,9,2572,836,5,409,5355
2022-09-01,Clark,598,4,1547,368,14,175,2531
2022-09-01,Clay,2952,39,2819,2391,20,754,8221
2022-09-01,Codington,4148,54,9390,3897,30,1608,17519
2022-09-01,Corson,1053,6,719,504,3,229,2285
2022-09-01,Custer,1115,32,4626,1600,34,1150,7407
2022-09-01,Davison,2910,30,6170,2729,34,1278,11873
2022-09-01,Day,1418,10,1778,699,16,157,3921
2022-09-01,Deuel,685,10,1610,685,7,183,2997
2022-09-01,Dewey,1889,3,747,660,7,239,3306
2022-09-01,Douglas,241,,1661,197,,67,2099
2022-09-01,Edmunds,583,6,1684,383,3,187,2659
2022-09-01,Fall River,893,34,3568,1348,34,608,5877
2022-09-01,Faulk,216,,1070,235,2,57,1523
2022-09-01,Grant,1179,13,2568,982,11,378,4753
2022-09-01,Gregory,709,3,1694,377,,177,2783
2022-09-01,Haakon,134,4,1123,118,1,61,1380
2022-09-01,Hamlin,621,6,2841,588,3,162,4059
2022-09-01,Hand,450,7,1557,227,4,123,2245
2022-09-01,Hanson,674,5,1765,781,12,545,3237
2022-09-01,Harding,75,5,802,90,,60,972
2022-09-01,Hughes,2228,54,7174,2098,23,874,11577
2022-09-01,Hutchinson,788,9,3318,736,7,203,4858
2022-09-01,Hyde,167,1,661,108,3,28,940
2022-09-01,Jackson,630,9,862,318,9,76,1828
2022-09-01,Jerauld,379,6,648,187,2,65,1222
2022-09-01,Jones,72,1,513,80,1,44,667
2022-09-01,Kingsbury,775,6,2204,612,3,312,3600
2022-09-01,Lake,2118,27,4053,1639,8,1870,7845
2022-09-01,Lawrence,3741,150,10832,4842,44,2210,19609
2022-09-01,Lincoln,9743,207,22180,11178,64,4660,43372
2022-09-01,Lyman,735,7,1141,327,1,62,2211
2022-09-01,Marshall,1035,6,1213,521,4,224,2779
2022-09-01,McCook,847,14,2196,741,6,134,3804
2022-09-01,McPherson,221,8,1283,210,2,206,1724
2022-09-01,Meade,3041,141,11915,4516,35,832,19648
2022-09-01,Mellette,422,3,501,193,1,77,1120
2022-09-01,Miner,488,4,731,316,4,86,1543
2022-09-01,Minnehaha,36622,677,54180,37253,320,17263,129052
2022-09-01,Moody,1383,12,1710,993,4,348,4102
2022-09-01,Oglala Lakota,5342,18,533,1968,44,843,7905
2022-09-01,Pennington,17681,624,43021,23321,272,9909,84919
2022-09-01,Perkins,288,5,1477,324,6,197,2100
2022-09-01,Potter,219,3,1318,155,5,139,1700
2022-09-01,Roberts,2647,13,2114,1364,22,450,6160
2022-09-01,Sanborn,370,5,928,252,4,100,1559
2022-09-01,Spink,1119,11,2390,602,8,215,4130
2022-09-01,Stanley,367,5,1464,276,12,218,2124
2022-09-01,Sully,183,4,790,138,3,62,1118
2022-09-01,Todd,2834,5,687,996,7,862,4529
2022-09-01,Tripp,676,8,2313,548,9,439,3554
2022-09-01,Turner,1223,12,3363,1170,18,205,5786
2022-09-01,Union,2497,34,6001,3619,13,2110,12164
2022-09-01,Walworth,643,9,2385,457,8,538,3502
2022-09-01,Yankton,3640,65,7057,3712,15,1593,14489
2022-09-01,Ziebach,803,7,406,376,3,115,1595
