date,county,democratic,libertarian,republican,npa_ind,other,inactive
2023-02-01,Aurora,574,4,930,308,2,95
2023-02-01,Beadle,2756,22,4866,2401,37,630
2023-02-01,Bennett,726,5,716,410,2,186
2023-02-01,Bon Homme,953,11,2238,686,2,298
2023-02-01,Brookings,5165,97,9140,6077,34,1453
2023-02-01,Brown,7603,91,11981,5029,51,1842
2023-02-01,Brule,966,12,1674,634,6,116
2023-02-01,Buffalo,579,2,167,168,3,72
2023-02-01,Butte,835,54,4386,1468,16,1291
2023-02-01,Campbell,105,1,925,97,,91
2023-02-01,Charles Mix,1912,9,2602,887,5,392
2023-02-01,Clark,588,4,1584,371,16,164
2023-02-01,Clay,3027,39,2926,2505,19,742
2023-02-01,Codington,4140,58,9635,3974,28,1545
2023-02-01,Corson,1062,6,728,518,3,221
2023-02-01,Custer,1105,33,4782,1646,32,1125
2023-02-01,Davison,2905,31,6340,2916,37,1245
2023-02-01,Day,1402,11,1821,704,16,149
2023-02-01,Deuel,675,9,1653,687,9,179
2023-02-01,Dewey,1872,3,752,709,8,235
2023-02-01,Douglas,238,,1687,210,,65
2023-02-01,Edmunds,572,7,1713,390,3,176
2023-02-01,Fall River,903,36,3657,1369,33,607
2023-02-01,Faulk,214,,1091,243,2,55
2023-02-01,Grant,1164,15,2609,1007,10,369
2023-02-01,Gregory,697,3,1757,397,,169
2023-02-01,Haakon,128,5,1140,116,1,59
2023-02-01,Hamlin,610,8,2879,596,3,153
2023-02-01,Hand,443,8,1586,234,5,98
2023-02-01,Hanson,661,6,1795,816,12,539
2023-02-01,Harding,72,6,813,101,,56
2023-02-01,Hughes,2223,51,7271,2154,23,841
2023-02-01,Hutchinson,779,11,3372,753,7,192
2023-02-01,Hyde,167,1,661,110,3,28
2023-02-01,Jackson,631,9,871,320,9,73
2023-02-01,Jerauld,372,6,673,195,1,62
2023-02-01,Jones,69,1,514,81,1,42
2023-02-01,Kingsbury,754,7,2223,632,3,307
2023-02-01,Lake,2108,26,4156,1640,9,1855
2023-02-01,Lawrence,3837,159,11189,5063,46,2207
2023-02-01,Lincoln,9925,214,23038,11612,74,4592
2023-02-01,Lyman,721,7,1145,352,1,57
2023-02-01,Marshall,1018,6,1257,528,4,212
2023-02-01,McCook,839,13,2246,756,6,121
2023-02-01,McPherson,217,8,1299,212,2,196
2023-02-01,Meade,3043,151,12279,4681,36,801
2023-02-01,Mellette,423,3,498,210,1,76
2023-02-01,Miner,478,4,784,319,3,82
2023-02-01,Minnehaha,36983,701,55507,38484,309,17025
2023-02-01,Moody,1377,13,1787,1009,3,339
2023-02-01,Oglala Lakota,5396,19,544,2017,44,818
2023-02-01,Pennington,18041,669,44235,23793,278,7734
2023-02-01,Perkins,281,5,1497,339,6,193
2023-02-01,Potter,211,3,1340,154,4,137
2023-02-01,Roberts,2600,15,2137,1437,22,450
2023-02-01,Sanborn,364,7,947,263,3,97
2023-02-01,Spink,1085,11,2437,630,7,202
2023-02-01,Stanley,370,5,1499,275,12,216
2023-02-01,Sully,183,4,799,146,3,59
2023-02-01,Todd,2841,5,687,1018,7,849
2023-02-01,Tripp,666,9,2315,558,8,422
2023-02-01,Turner,1206,12,3443,1200,17,197
2023-02-01,Union,2511,39,6141,3675,13,2077
2023-02-01,Walworth,638,9,2430,492,8,526
2023-02-01,Yankton,3651,63,7173,3751,17,1475
2023-02-01,Ziebach,789,7,425,388,3,111
