date,county,democratic,libertarian,republican,npa_ind,other,incative
2023-03-01,Aurora,575,4,932,310,2,96
2023-03-01,Beadle,2750,22,4875,2402,37,627
2023-03-01,Bennett,725,5,716,411,2,185
2023-03-01,Bon Homme,952,11,2239,687,2,297
2023-03-01,Brookings,5164,99,9169,6086,34,1453
2023-03-01,Brown,7591,91,12002,5031,50,1839
2023-03-01,Brule,964,12,1671,632,6,116
2023-03-01,Buffalo,578,2,167,167,3,72
2023-03-01,Butte,830,55,4396,1476,14,1296
2023-03-01,Campbell,105,1,927,98,,91
2023-03-01,Charles Mix,1905,9,2612,885,5,395
2023-03-01,Clark,588,4,1586,371,16,164
2023-03-01,Clay,3028,39,2937,2518,19,741
2023-03-01,Codington,4134,57,9648,3980,28,1541
2023-03-01,Corson,1062,6,728,519,3,221
2023-03-01,Custer,1101,32,4803,1653,32,1125
2023-03-01,Davison,2891,31,6352,2934,38,1242
2023-03-01,Day,1399,11,1819,702,16,149
2023-03-01,Deuel,673,9,1653,685,9,178
2023-03-01,Dewey,1868,3,751,707,8,236
2023-03-01,Douglas,237,,1689,210,,65
2023-03-01,Edmunds,573,7,1714,389,3,175
2023-03-01,Fall River,906,37,3659,1379,33,603
2023-03-01,Faulk,213,,1092,243,2,55
2023-03-01,Grant,1162,16,2611,1010,10,369
2023-03-01,Gregory,693,3,1763,397,,168
2023-03-01,Haakon,128,5,1142,115,1,59
2023-03-01,Hamlin,608,8,2898,594,3,153
2023-03-01,Hand,443,8,1582,235,5,80
2023-03-01,Hanson,662,6,1798,823,12,539
2023-03-01,Harding,72,6,813,102,,56
2023-03-01,Hughes,2221,52,7268,2159,23,840
2023-03-01,Hutchinson,781,11,3377,763,7,191
2023-03-01,Hyde,167,1,665,109,3,28
2023-03-01,Jackson,633,9,875,322,9,73
2023-03-01,Jerauld,372,6,672,193,1,61
2023-03-01,Jones,69,1,516,82,1,42
2023-03-01,Kingsbury,758,8,2221,633,3,307
2023-03-01,Lake,2107,26,4154,1639,9,1855
2023-03-01,Lawrence,3843,162,11204,5087,46,2206
2023-03-01,Lincoln,9928,219,23148,11678,74,4580
2023-03-01,Lyman,717,7,1146,356,1,57
2023-03-01,Marshall,1017,6,1255,530,4,212
2023-03-01,McCook,840,13,2247,754,6,120
2023-03-01,McPherson,217,8,1300,211,2,196
2023-03-01,Meade,3034,152,12313,4699,34,799
2023-03-01,Mellette,422,3,497,214,1,76
2023-03-01,Miner,476,4,786,326,3,81
2023-03-01,Minnehaha,36956,703,55643,38604,309,17010
2023-03-01,Moody,1376,13,1790,1011,3,338
2023-03-01,Oglala Lakota,5393,19,547,2025,44,817
2023-03-01,Pennington,18042,675,44321,23821,276,7744
2023-03-01,Perkins,281,5,1499,339,6,193
2023-03-01,Potter,210,3,1343,157,4,136
2023-03-01,Roberts,2591,15,2145,1450,22,449
2023-03-01,Sanborn,365,7,948,266,3,97
2023-03-01,Spink,1083,11,2444,633,8,200
2023-03-01,Stanley,366,6,1509,272,11,215
2023-03-01,Sully,183,4,802,145,3,58
2023-03-01,Todd,2842,5,687,1015,7,846
2023-03-01,Tripp,663,9,2332,561,8,420
2023-03-01,Turner,1204,12,3444,1199,17,197
2023-03-01,Union,2506,39,6156,3687,14,2075
2023-03-01,Walworth,640,9,2434,499,8,526
2023-03-01,Yankton,3648,65,7179,3758,17,1474
2023-03-01,Ziebach,789,7,425,389,3,110
