county,democratic,libertarian,republican,npa_ind,other,inactive
Aurora,568,4,936,315,2,96
Beadle,2756,21,4895,2432,36,630
Bennett,727,5,716,415,2,184
Bon Homme,953,11,2251,683,2,297
Brookings,5161,100,9194,6097,34,1451
Brown,7679,91,12102,5140,50,1206
Brule,957,12,1677,637,6,114
Buffalo,577,2,167,167,3,72
Butte,826,54,4390,1485,14,1299
Campbell,105,1,927,99,,90
Charles Mix,1892,9,2625,884,5,375
Clark,589,4,1588,372,16,163
Clay,3031,39,2955,2529,19,738
Codington,4119,57,9667,3985,28,1535
Corson,1063,6,728,521,3,220
Custer,1102,32,4828,1661,34,1125
Davison,2883,32,6366,2942,38,1241
Day,1400,11,1830,703,16,149
Deuel,670,9,1659,688,9,177
Dewey,1866,3,749,710,8,234
Douglas,236,,1689,214,,64
Edmunds,569,7,1716,390,3,175
Fall River,908,38,3661,1396,32,604
Faulk,211,,1090,243,2,55
Grant,1156,16,2604,1008,10,367
Gregory,689,3,1763,401,1,167
Haakon,129,5,1143,115,1,59
Hamlin,612,8,2906,592,3,153
Hand,431,8,1586,235,4,98
Hanson,660,6,1801,828,12,538
Harding,71,6,815,103,,56
Hughes,2218,51,7282,2160,23,846
Hutchinson,779,11,3383,766,7,190
Hyde,167,1,668,109,3,28
Jackson,637,9,883,323,9,73
Jerauld,370,6,673,192,1,60
Jones,69,1,518,83,1,42
Kingsbury,758,8,2226,635,3,304
Lake,2105,26,4149,1638,9,1850
Lawrence,3847,159,11234,5127,47,2208
Lincoln,9950,219,23236,11731,74,4569
Lyman,716,7,1147,356,1,56
Marshall,1017,6,1249,531,4,212
McCook,838,13,2254,754,6,120
McPherson,217,8,1300,211,2,196
Meade,3042,155,12353,4718,34,797
Mellette,420,3,496,216,1,75
Minnehaha,36939,707,55761,38743,308,16995
Moody,1368,13,1800,1012,3,338
Oglala Lakota,5378,19,548,2019,44,816
Pennington,18059,680,44431,23870,279,7739
Perkins,280,5,1499,339,6,194
Potter,209,3,1342,157,4,136
Roberts,2589,15,2147,1454,22,448
Sanborn,364,7,953,268,3,96
Spink,1074,11,2454,638,8,199
Stanley,363,6,1509,274,11,215
Sully,181,4,806,147,3,57
Todd,2845,7,689,1060,7,835
Tripp,661,9,2338,556,8,418
Turner,1203,12,3455,1207,16,196
Union,2502,39,6175,3695,14,2072
Walworth,640,9,2439,506,8,523
Yankton,3636,64,7184,3760,17,1469
Ziebach,786,7,425,394,3,111
