date,county,democratic,libertarian,republican,independent,other,npa,no_labels,inactive
2024-12-02,Aurora,520,2,986,231,2,100,,104
2024-12-02,Beadle,2495,26,5135,1381,41,1130,1,777
2024-12-02,Bennett,691,7,732,207,2,201,,185
2024-12-02,Bon Homme,885,12,2377,484,,233,,286
2024-12-02,Brookings,5109,108,10010,3639,22,2823,2,1574
2024-12-02,Brown,7264,100,12960,3592,11,1969,3,1118
2024-12-02,Brule,900,15,1762,465,4,216,,171
2024-12-02,Buffalo,536,2,152,74,4,100,,116
2024-12-02,Butte,779,56,4606,877,20,647,,1342
2024-12-02,Campbell,105,1,912,75,,40,,73
2024-12-02,Charles Mix,1787,9,2715,587,,349,,439
2024-12-02,Clark,537,4,1654,262,,156,,137
2024-12-02,Clay,2895,36,3052,1450,11,1145,5,1223
2024-12-02,Codington,3884,65,10502,2619,27,1868,,1577
2024-12-02,Corson,977,5,749,282,3,294,,230
2024-12-02,Custer,1055,38,5150,1116,24,674,1,974
2024-12-02,Davison,2781,31,6872,1906,35,1487,3,1269
2024-12-02,Day,1260,12,1917,588,,169,,223
2024-12-02,Deuel,589,11,1775,485,,280,1,119
2024-12-02,Dewey,1800,4,774,428,1,396,,229
2024-12-02,Douglas,203,1,1666,143,,98,,111
2024-12-02,Edmunds,516,7,1783,256,2,176,,141
2024-12-02,Fall River,890,41,3940,900,2,638,1,395
2024-12-02,Faulk,190,1,1130,220,,39,,58
2024-12-02,Grant,1057,18,2719,706,11,342,,341
2024-12-02,Gregory,617,4,1859,345,,85,,152
2024-12-02,Haakon,116,2,1171,87,2,29,,61
2024-12-02,Hamlin,540,7,3082,377,,261,,221
2024-12-02,Hand,399,8,1655,187,4,55,,89
2024-12-02,Hanson,593,6,1884,493,7,368,,485
2024-12-02,Harding,63,6,843,75,1,42,,49
2024-12-02,Hughes,2156,44,7369,1407,18,948,,1031
2024-12-02,Hutchinson,716,14,3440,531,8,330,,208
2024-12-02,Hyde,149,1,659,94,,29,,42
2024-12-02,Jackson,583,6,916,166,1,164,,130
2024-12-02,Jerauld,328,6,728,132,1,69,,70
2024-12-02,Jones,62,1,525,59,,28,1,52
2024-12-02,Kingsbury,670,7,2292,394,2,310,,282
2024-12-02,Lake,1911,25,4359,965,5,607,2,2126
2024-12-02,Lawrence,3949,177,12270,3284,40,2701,6,2350
2024-12-02,Lincoln,10157,236,25504,7756,81,5232,11,4911
2024-12-02,Lyman,657,4,1156,219,1,152,,108
2024-12-02,Marshall,966,2,1299,383,2,172,,162
2024-12-02,McCook,796,8,2400,524,3,274,,146
2024-12-02,McPherson,191,8,1334,131,,69,,161
2024-12-02,Meade,2820,153,12951,2865,20,2122,2,1610
2024-12-02,Mellette,413,1,500,189,,66,,65
2024-12-02,Miner,431,5,840,232,,110,,81
2024-12-02,Minnehaha,36320,746,59186,22665,255,18595,17,17243
2024-12-02,Moody,1308,15,1946,703,4,412,1,207
2024-12-02,Oglala Lakota,5247,18,586,980,1,1213,,634
2024-12-02,Pennington,18081,681,46729,13210,213,12085,26,9832
2024-12-02,Perkins,258,4,1563,194,4,157,,177
2024-12-02,Potter,182,1,1345,107,6,41,1,143
2024-12-02,Roberts,2390,10,2256,937,19,619,,479
2024-12-02,Sanborn,358,7,993,164,,126,1,60
2024-12-02,Spink,1003,10,2552,452,2,229,,201
2024-12-02,Stanley,335,7,1568,189,,115,,203
2024-12-02,Sully,160,5,833,109,,36,,68
2024-12-02,Todd,2742,7,661,581,5,557,,763
2024-12-02,Tripp,569,7,2438,347,7,223,,380
2024-12-02,Turner,1126,15,3666,907,,379,,231
2024-12-02,Union,2324,44,6638,2208,9,1500,2,2175
2024-12-02,Walworth,578,8,2473,336,11,255,,467
2024-12-02,Yankton,3490,60,7492,2564,15,1336,,1569
2024-12-02,Ziebach,742,5,433,173,1,250,,95
