date,county,democratic,libertarian,republican,independent,other,npa,inactive
2026-02-02,Aurora,482,2,991,229,3,99,74
2026-02-02,Beadle,2343,31,5176,1327,46,1222,705
2026-02-02,Bennett,657,8,723,196,3,200,127
2026-02-02,Bon Homme,825,10,2408,480,,228,258
2026-02-02,Brookings,4999,98,10137,3600,21,2822,1312
2026-02-02,Brown,6256,88,12280,3165,10,1802,2825
2026-02-02,Brule,838,12,1731,442,4,223,188
2026-02-02,Buffalo,522,2,149,79,4,104,55
2026-02-02,Butte,731,54,4615,858,22,666,1000
2026-02-02,Campbell,94,1,888,68,,49,80
2026-02-02,Charles Mix,1739,9,2747,580,1,371,325
2026-02-02,Clark,482,4,1661,250,,181,154
2026-02-02,Clay,2740,36,2999,1385,20,1068,1084
2026-02-02,Codington,3638,59,10538,2540,23,2156,1593
2026-02-02,Corson,909,4,746,271,3,297,215
2026-02-02,Custer,999,40,5164,1118,25,699,703
2026-02-02,Davison,2689,33,6961,1897,34,1521,745
2026-02-02,Day,1180,11,1978,561,1,181,169
2026-02-02,Deuel,561,8,1816,477,1,311,74
2026-02-02,Dewey,1767,5,790,424,3,442,169
2026-02-02,Douglas,185,2,1654,129,,101,89
2026-02-02,Edmunds,486,6,1796,248,2,182,105
2026-02-02,Fall River,772,32,3820,797,3,666,879
2026-02-02,Faulk,172,,1081,211,,43,88
2026-02-02,Grant,975,19,2698,673,10,389,304
2026-02-02,Gregory,588,4,1867,343,,94,123
2026-02-02,Haakon,103,2,1146,81,4,43,49
2026-02-02,Hamlin,513,7,3054,368,1,299,216
2026-02-02,Hand,358,9,1648,185,3,51,57
2026-02-02,Hanson,502,4,1759,438,7,353,486
2026-02-02,Harding,56,4,825,72,2,44,33
2026-02-02,Hughes,2084,54,7319,1391,18,1032,751
2026-02-02,Hutchinson,686,15,3401,513,8,345,170
2026-02-02,Hyde,140,1,639,95,,33,49
2026-02-02,Jackson,570,6,915,167,1,171,92
2026-02-02,Jerauld,313,6,749,136,1,86,33
2026-02-02,Jones,57,1,503,55,,29,60
2026-02-02,Kingsbury,598,7,2277,364,3,340,249
2026-02-02,Lake,1793,24,4298,935,6,621,1485
2026-02-02,Lawrence,3803,166,12294,3267,50,2896,1959
2026-02-02,Lincoln,9968,213,26068,7786,94,5473,4085
2026-02-02,Lyman,635,4,1161,216,1,176,57
2026-02-02,Marshall,913,2,1329,377,2,184,96
2026-02-02,McCook,760,9,2382,501,5,269,155
2026-02-02,McPherson,170,7,1279,118,1,77,69
2026-02-02,Meade,2611,141,12876,2793,28,2108,1492
2026-02-02,Mellette,401,,501,204,,71,61
2026-02-02,Miner,402,4,846,217,1,107,70
2026-02-02,Minnehaha,34737,691,58852,22110,224,18762,13677
2026-02-02,Moody,1275,17,2018,702,5,441,52
2026-02-02,Oglala Lakota,5033,18,589,919,1,1221,772
2026-02-02,Pennington,17622,670,47011,13213,237,12160,7582
2026-02-02,Perkins,237,4,1546,178,4,152,176
2026-02-02,Potter,178,1,1360,114,5,52,93
2026-02-02,Roberts,2251,9,2262,914,16,652,444
2026-02-02,Sanborn,344,7,996,164,1,118,72
2026-02-02,Spink,918,8,2541,442,4,244,190
2026-02-02,Stanley,320,8,1566,197,,123,177
2026-02-02,Sully,153,4,834,112,,41,65
2026-02-02,Todd,2594,6,645,574,3,556,671
2026-02-02,Tripp,519,4,2403,329,5,213,314
2026-02-02,Turner,1085,17,3688,876,2,381,208
2026-02-02,Union,2164,48,6616,2132,11,1462,1470
2026-02-02,Walworth,533,11,2437,321,9,289,371
2026-02-02,Yankton,3251,57,7458,2423,21,1296,1317
2026-02-02,Ziebach,708,4,423,169,1,265,85
