date,county,county_fips,party,voters,election
1976-05-17,Aurora,46003,democratic,1508,primary
1976-05-17,Aurora,46003,other,190,primary
1976-05-17,Aurora,46003,republican,984,primary
1976-05-17,Beadle,46005,democratic,7007,primary
1976-05-17,Beadle,46005,other,1264,primary
1976-05-17,Beadle,46005,republican,4773,primary
1976-05-17,Bennett,46007,democratic,933,primary
1976-05-17,Bennett,46007,other,112,primary
1976-05-17,Bennett,46007,republican,784,primary
1976-05-17,Bon Homme,46009,democratic,2527,primary
1976-05-17,Bon Homme,46009,other,409,primary
1976-05-17,Bon Homme,46009,republican,2825,primary
1976-05-17,Brookings,46011,democratic,4817,primary
1976-05-17,Brookings,46011,other,2038,primary
1976-05-17,Brookings,46011,republican,6149,primary
1976-05-17,Brown,46013,democratic,11371,primary
1976-05-17,Brown,46013,other,2016,primary
1976-05-17,Brown,46013,republican,8836,primary
1976-05-17,Brule,46015,democratic,2189,primary
1976-05-17,Brule,46015,other,207,primary
1976-05-17,Brule,46015,republican,1139,primary
1976-05-17,Buffalo,46017,democratic,517,primary
1976-05-17,Buffalo,46017,other,39,primary
1976-05-17,Buffalo,46017,republican,311,primary
1976-05-17,Butte,46019,democratic,1476,primary
1976-05-17,Butte,46019,other,250,primary
1976-05-17,Butte,46019,republican,3053,primary
1976-05-17,Campbell,46021,democratic,313,primary
1976-05-17,Campbell,46021,other,41,primary
1976-05-17,Campbell,46021,republican,1486,primary
1976-05-17,Charles Mix,46023,democratic,3642,primary
1976-05-17,Charles Mix,46023,other,299,primary
1976-05-17,Charles Mix,46023,republican,1861,primary
1976-05-17,Clark,46025,democratic,1432,primary
1976-05-17,Clark,46025,other,206,primary
1976-05-17,Clark,46025,republican,2034,primary
1976-05-17,Clay,46027,democratic,2913,primary
1976-05-17,Clay,46027,other,906,primary
1976-05-17,Clay,46027,republican,2582,primary
1976-05-17,Codington,46029,democratic,5721,primary
1976-05-17,Codington,46029,other,1755,primary
1976-05-17,Codington,46029,republican,4897,primary
1976-05-17,Corson,46031,democratic,1163,primary
1976-05-17,Corson,46031,other,147,primary
1976-05-17,Corson,46031,republican,1189,primary
1976-05-17,Custer,46033,democratic,1248,primary
1976-05-17,Custer,46033,other,302,primary
1976-05-17,Custer,46033,republican,1567,primary
1976-05-17,Davison,46035,democratic,5222,primary
1976-05-17,Davison,46035,other,1100,primary
1976-05-17,Davison,46035,republican,3993,primary
1976-05-17,Day,46037,democratic,3054,primary
1976-05-17,Day,46037,other,309,primary
1976-05-17,Day,46037,republican,2377,primary
1976-05-17,Deuel,46039,democratic,1323,primary
1976-05-17,Deuel,46039,other,374,primary
1976-05-17,Deuel,46039,republican,1674,primary
1976-05-17,Dewey,46041,democratic,997,primary
1976-05-17,Dewey,46041,other,165,primary
1976-05-17,Dewey,46041,republican,1117,primary
1976-05-17,Douglas,46043,democratic,798,primary
1976-05-17,Douglas,46043,other,130,primary
1976-05-17,Douglas,46043,republican,1950,primary
1976-05-17,Edmunds,46045,democratic,1828,primary
1976-05-17,Edmunds,46045,other,205,primary
1976-05-17,Edmunds,46045,republican,1804,primary
1976-05-17,Fall River,46047,democratic,1852,primary
1976-05-17,Fall River,46047,other,370,primary
1976-05-17,Fall River,46047,republican,2828,primary
1976-05-17,Faulk,46049,democratic,1143,primary
1976-05-17,Faulk,46049,other,128,primary
1976-05-17,Faulk,46049,republican,1146,primary
1976-05-17,Grant,46051,democratic,2375,primary
1976-05-17,Grant,46051,other,601,primary
1976-05-17,Grant,46051,republican,2621,primary
1976-05-17,Gregory,46053,democratic,2189,primary
1976-05-17,Gregory,46053,other,176,primary
1976-05-17,Gregory,46053,republican,1826,primary
1976-05-17,Haakon,46055,democratic,576,primary
1976-05-17,Haakon,46055,other,79,primary
1976-05-17,Haakon,46055,republican,999,primary
1976-05-17,Hamlin,46057,democratic,1417,primary
1976-05-17,Hamlin,46057,other,244,primary
1976-05-17,Hamlin,46057,republican,2103,primary
1976-05-17,Hand,46059,democratic,1700,primary
1976-05-17,Hand,46059,other,244,primary
1976-05-17,Hand,46059,republican,1911,primary
1976-05-17,Hanson,46061,democratic,1041,primary
1976-05-17,Hanson,46061,other,165,primary
