date,county,county_fips,active,americans_elect,constitution,democrat,democratic,inactive,independent,libertarian,npa_ind,npa_ind_oth,other,reform,republican
1976-05-17,Aurora,46003,,,,,1508,,,,,,190,,984
1976-05-17,Beadle,46005,,,,,7007,,,,,,1264,,4773
1976-05-17,Bennett,46007,,,,,933,,,,,,112,,784
1976-05-17,Bon Homme,46009,,,,,2527,,,,,,409,,2825
1976-05-17,Brookings,46011,,,,,4817,,,,,,2038,,6149
1976-05-17,Brown,46013,,,,,11371,,,,,,2016,,8836
1976-05-17,Brule,46015,,,,,2189,,,,,,207,,1139
1976-05-17,Buffalo,46017,,,,,517,,,,,,39,,311
1976-05-17,Butte,46019,,,,,1476,,,,,,250,,3053
1976-05-17,Campbell,46021,,,,,313,,,,,,41,,1486
1976-05-17,Charles Mix,46023,,,,,3642,,,,,,299,,1861
1976-05-17,Clark,46025,,,,,1432,,,,,,206,,2034
1976-05-17,Clay,46027,,,,,2913,,,,,,906,,2582
1976-05-17,Codington,46029,,,,,5721,,,,,,1755,,4897
1976-05-17,Corson,46031,,,,,1163,,,,,,147,,1189
1976-05-17,Custer,46033,,,,,1248,,,,,,302,,1567
1976-05-17,Davison,46035,,,,,5222,,,,,,1100,,3993
1976-05-17,Day,46037,,,,,3054,,,,,,309,,2377
1976-05-17,Deuel,46039,,,,,1323,,,,,,374,,1674
1976-05-17,Dewey,46041,,,,,997,,,,,,165,,1117
1976-05-17,Douglas,46043,,,,,798,,,,,,130,,1950
1976-05-17,Edmunds,46045,,,,,1828,,,,,,205,,1804
1976-05-17,Fall River,46047,,,,,1852,,,,,,370,,2828
1976-05-17,Faulk,46049,,,,,1143,,,,,,128,,1146
1976-05-17,Grant,46051,,,,,2375,,,,,,601,,2621
1976-05-17,Gregory,46053,,,,,2189,,,,,,176,,1826
1976-05-17,Haakon,46055,,,,,576,,,,,,79,,999
1976-05-17,Hamlin,46057,,,,,1417,,,,,,244,,2103
1976-05-17,Hand,46059,,,,,1700,,,,,,244,,1911
1976-05-17,Hanson,46061,,,,,1041,,,,,,165,,868
1976-05-17,Harding,46063,,,,,376,,,,,,52,,782
1976-05-17,Hughes,46065,,,,,3057,,,,,,792,,4613
1976-05-17,Hutchinson,46067,,,,,1616,,,,,,105,,4630
1976-05-17,Hyde,46069,,,,,745,,,,,,58,,770
1976-05-17,Jackson,46071,,,,,295,,,,,,21,,631
1976-05-17,Jerauld,46073,,,,,964,,,,,,107,,1082
1976-05-17,Jones,46075,,,,,434,,,,,,29,,383
1976-05-17,Kingsbury,46077,,,,,1632,,,,,,277,,2927
1976-05-17,Lake,46079,,,,,3286,,,,,,538,,3348
1976-05-17,Lawrence,46081,,,,,3450,,,,,,702,,5924
1976-05-17,Lincoln,46083,,,,,2749,,,,,,750,,3978
1976-05-17,Lyman,46085,,,,,908,,,,,,59,,1416
1976-05-17,McCook,46087,,,,,1908,,,,,,510,,2091
1976-05-17,McPherson,46089,,,,,520,,,,,,96,,2504
1976-05-17,Marshall,46091,,,,,2029,,,,,,190,,1572
1976-05-17,Meade,46093,,,,,3114,,,,,,465,,3723
1976-05-17,Mellette,46095,,,,,572,,,,,,87,,688
1976-05-17,Miner,46097,,,,,1497,,,,,,203,,998
1976-05-17,Minnehaha,46099,,,,,28975,,,,,,5647,,28322
1976-05-17,Moody,46101,,,,,2208,,,,,,782,,1681
1976-05-17,Pennington,46103,,,,,14099,,,,,,3618,,15779
1976-05-17,Perkins,46105,,,,,1274,,,,,,164,,1767
1976-05-17,Potter,46107,,,,,999,,,,,,107,,1621
1976-05-17,Roberts,46109,,,,,3670,,,,,,520,,2032
1976-05-17,Sanborn,46111,,,,,1101,,,,,,220,,1159
1976-05-17,Shannon,46113,,,,,1518,,,,,,185,,450
1976-05-17,Spink,46115,,,,,3031,,,,,,450,,2454
1976-05-17,Stanley,46117,,,,,778,,,,,,173,,735
1976-05-17,Sully,46119,,,,,594,,,,,,508,,881
1976-05-17,Todd,46121,,,,,1682,,,,,,233,,808
1976-05-17,Tripp,46123,,,,,2425,,,,,,448,,2347
1976-05-17,Turner,46125,,,,,1751,,,,,,588,,3901
1976-05-17,Union,46127,,,,,2843,,,,,,772,,2688
1976-05-17,Walworth,46129,,,,,1659,,,,,,271,,2901
1976-05-17,Washabaugh,46131,,,,,366,,,,,,38,,273
1976-05-17,Yankton,46135,,,,,4510,,,,,,828,,5318
1976-05-17,Ziebach,46137,,,,,532,,,,,,58,,533
1976-10-18,Aurora,46003,,,,,1569,,,,,,174,,996
1976-10-18,Beadle,46005,,,,,7242,,,,,,1350,,4972
1976-10-18,Bennett,46007,,,,,952,,,,,,120,,793
1976-10-18,Bon Homme,46009,,,,,2563,,,,,,361,,2848
1976-10-18,Brookings,46011,,,,,5260,,,,,,2241,,6453
1976-10-18,Brown,46013,,,,,12185,,,,,,2284,,9350
1976-10-18,Brule,46015,,,,,2328,,,,,,202,,1153
1976-10-18,Buffalo,46017,,,,,495,,,,,,39,,301
1976-10-18,Butte,46019,,,,,1470,,,,,,249,,3037
1976-10-18,Campbell,46021,,,,,335,,,,,,50,,1530
1976-10-18,Charles Mix,46023,,,,,3678,,,,,,310,,1885
1976-10-18,Clark,46025,,,,,1493,,,,,,207,,2061
1976-10-18,Clay,46027,,,,,3163,,,,,,1107,,2788
1976-10-18,Codington,46029,,,,,6301,,,,,,1991,,5176
1976-10-18,Corson,46031,,,,,1353,,,,,,167,,1218
1976-10-18,Custer,46033,,,,,1367,,,,,,366,,1627
1976-10-18,Davison,46035,,,,,5879,,,,,,1215,,4320
1976-10-18,Day,46037,,,,,3258,,,,,,336,,2369
1976-10-18,Deuel,46039,,,,,1451,,,,,,389,,1715
1976-10-18,Dewey,46041,,,,,1042,,,,,,175,,1131
1976-10-18,Douglas,46043,,,,,803,,,,,,137,,2010
1976-10-18,Edmunds,46045,,,,,1902,,,,,,192,,1818
1976-10-18,Fall River,46047,,,,,2166,,,,,,464,,2970
1976-10-18,Faulk,46049,,,,,1171,,,,,,148,,1159
1976-10-18,Grant,46051,,,,,2507,,,,,,665,,2730
1976-10-18,Gregory,46053,,,,,2234,,,,,,178,,1870
1976-10-18,Haakon,46055,,,,,600,,,,,,79,,1029
1976-10-18,Hamlin,46057,,,,,1321,,,,,,227,,2066
1976-10-18,Hand,46059,,,,,1723,,,,,,176,,1922
1976-10-18,Hanson,46061,,,,,1072,,,,,,295,,874
1976-10-18,Harding,46063,,,,,401,,,,,,63,,795
1976-10-18,Hughes,46065,,,,,3496,,,,,,961,,4410
1976-10-18,Hutchinson,46067,,,,,1751,,,,,,137,,4866
1976-10-18,Hyde,46069,,,,,764,,,,,,68,,765
1976-10-18,Jackson,46071,,,,,314,,,,,,28,,653
1976-10-18,Jerauld,46073,,,,,976,,,,,,109,,1088
1976-10-18,Jones,46075,,,,,450,,,,,,32,,600
1976-10-18,Kingsbury,46077,,,,,1694,,,,,,297,,2949
1976-10-18,Lake,46079,,,,,3459,,,,,,583,,3365
1976-10-18,Lawrence,46081,,,,,3856,,,,,,886,,6063
1976-10-18,Lincoln,46083,,,,,3034,,,,,,816,,4214
1976-10-18,Lyman,46085,,,,,927,,,,,,67,,1433
1976-10-18,McCook,46087,,,,,2037,,,,,,523,,2163
1976-10-18,McPherson,46089,,,,,553,,,,,,68,,2537
1976-10-18,Marshall,46091,,,,,2135,,,,,,207,,1594
1976-10-18,Meade,46093,,,,,3500,,,,,,500,,4000
1976-10-18,Mellette,46095,,,,,597,,,,,,110,,707
1976-10-18,Miner,46097,,,,,1526,,,,,,212,,1005
1976-10-18,Minnehaha,46099,,,,,31676,,,,,,6361,,29969
1976-10-18,Moody,46101,,,,,2268,,,,,,779,,1717
1976-10-18,Pennington,46103,,,,,15867,,,,,,4314,,17095
1976-10-18,Perkins,46105,,,,,1380,,,,,,140,,1800
1976-10-18,Potter,46107,,,,,1048,,,,,,123,,1655
1976-10-18,Roberts,46109,,,,,3819,,,,,,565,,2116
1976-10-18,Sanborn,46111,,,,,1101,,,,,,225,,1180
1976-10-18,Shannon,46113,,,,,1759,,,,,,226,,485
1976-10-18,Spink,46115,,,,,3171,,,,,,535,,2506
1976-10-18,Stanley,46117,,,,,773,,,,,,193,,768
1976-10-18,Sully,46119,,,,,607,,,,,,70,,886
1976-10-18,Todd,46121,,,,,1750,,,,,,263,,826
1976-10-18,Tripp,46123,,,,,2465,,,,,,469,,2391
1976-10-18,Turner,46125,,,,,1832,,,,,,142,,3972
1976-10-18,Union,46127,,,,,3167,,,,,,825,,2840
1976-10-18,Walworth,46129,,,,,1715,,,,,,296,,2907
1976-10-18,Washabaugh,46131,,,,,417,,,,,,72,,280
1976-10-18,Yankton,46135,,,,,4866,,,,,,894,,5510
1976-10-18,Ziebach,46137,,,,,538,,,,,,66,,551
1978-05-22,Aurora,46003,,,,,1405,,,,,,138,,1039
1978-05-22,Beadle,46005,,,,,6757,,,,,,1096,,4601
1978-05-22,Bennett,46007,,,,,996,,,,,,110,,814
1978-05-22,Bon Homme,46009,,,,,2474,,,,,,346,,2779
1978-05-22,Brookings,46011,,,,,5176,,,,,,2155,,6166
1978-05-22,Brown,46013,,,,,11373,,,,,,1700,,8467
1978-05-22,Brule,46015,,,,,2229,,,,,,184,,1101
1978-05-22,Buffalo,46017,,,,,465,,,,,,35,,274
1978-05-22,Butte,46019,,,,,1409,,,,,,275,,3124
1978-05-22,Campbell,46021,,,,,3657,,,,,,269,,1824
1978-05-22,Charles Mix,46023,,,,,3657,,,,,,269,,1824
1978-05-22,Clark,46025,,,,,1410,,,,,,184,,1911
1978-05-22,Clay,46027,,,,,3076,,,,,,1016,,2651
1978-05-22,Codington,46029,,,,,5610,,,,,,1525,,4629
1978-05-22,Corson,46031,,,,,1289,,,,,,158,,1179
1978-05-22,Custer,46033,,,,,1295,,,,,,343,,1518
1978-05-22,Davison,46035,,,,,5278,,,,,,1036,,3769
1978-05-22,Day,46037,,,,,3098,,,,,,296,,2270
1978-05-22,Deuel,46039,,,,,1430,,,,,,353,,1643
1978-05-22,Dewey,46041,,,,,1038,,,,,,146,,1092
1978-05-22,Douglas,46043,,,,,779,,,,,,112,,1951
1978-05-22,Edmunds,46045,,,,,1848,,,,,,169,,1738
1978-05-22,Fall River,46047,,,,,2091,,,,,,453,,2962
1978-05-22,Faulk,46049,,,,,1165,,,,,,118,,1134
1978-05-22,Grant,46051,,,,,2416,,,,,,577,,2571
1978-05-22,Gregory,46053,,,,,2148,,,,,,138,,1830
1978-05-22,Haakon,46055,,,,,584,,,,,,80,,1022
1978-05-22,Hamlin,46057,,,,,1365,,,,,,223,,2024
1978-05-22,Hand,46059,,,,,1658,,,,,,232,,1842
1978-05-22,Hanson,46061,,,,,956,,,,,,276,,884
1978-05-22,Harding,46063,,,,,381,,,,,,66,,758
1978-05-22,Hughes,46065,,,,,3087,,,,,,856,,4713
1978-05-22,Hutchinson,46067,,,,,1664,,,,,,120,,4630
1978-05-22,Hyde,46069,,,,,774,,,,,,59,,736
1978-05-22,Jackson,46071,,,,,663,,,,,,81,,981
1978-05-22,Jerauld,46073,,,,,923,,,,,,102,,1046
1978-05-22,Jones,46075,,,,,429,,,,,,35,,601
1978-05-22,Kingsbury,46077,,,,,1597,,,,,,259,,2742
1978-05-22,Lake,46079,,,,,3108,,,,,,436,,3146
1978-05-22,Lawrence,46081,,,,,3514,,,,,,722,,5780
1978-05-22,Lincoln,46083,,,,,3174,,,,,,708,,3998
1978-05-22,Lyman,46085,,,,,944,,,,,,58,,1409
1978-05-22,McCook,46087,,,,,1971,,,,,,469,,2086
1978-05-22,McPherson,46089,,,,,517,,,,,,97,,2491
