date,county,party,voters,election_type,fips
1976-05-17,Aurora,democratic,1508,primary,46003
1976-05-17,Aurora,other,190,primary,46003
1976-05-17,Aurora,republican,984,primary,46003
1976-05-17,Beadle,democratic,7007,primary,46005
1976-05-17,Beadle,other,1264,primary,46005
1976-05-17,Beadle,republican,4773,primary,46005
1976-05-17,Bennett,democratic,933,primary,46007
1976-05-17,Bennett,other,112,primary,46007
1976-05-17,Bennett,republican,784,primary,46007
1976-05-17,Bon Homme,democratic,2527,primary,46009
1976-05-17,Bon Homme,other,409,primary,46009
1976-05-17,Bon Homme,republican,2825,primary,46009
1976-05-17,Brookings,democratic,4817,primary,46011
1976-05-17,Brookings,other,2038,primary,46011
1976-05-17,Brookings,republican,6149,primary,46011
1976-05-17,Brown,democratic,11371,primary,46013
1976-05-17,Brown,other,2016,primary,46013
1976-05-17,Brown,republican,8836,primary,46013
1976-05-17,Brule,democratic,2189,primary,46015
1976-05-17,Brule,other,207,primary,46015
1976-05-17,Brule,republican,1139,primary,46015
1976-05-17,Buffalo,democratic,517,primary,46017
1976-05-17,Buffalo,other,39,primary,46017
1976-05-17,Buffalo,republican,311,primary,46017
1976-05-17,Butte,democratic,1476,primary,46019
1976-05-17,Butte,other,250,primary,46019
1976-05-17,Butte,republican,3053,primary,46019
1976-05-17,Campbell,democratic,313,primary,46021
1976-05-17,Campbell,other,41,primary,46021
1976-05-17,Campbell,republican,1486,primary,46021
1976-05-17,Charles Mix,democratic,3642,primary,46023
1976-05-17,Charles Mix,other,299,primary,46023
1976-05-17,Charles Mix,republican,1861,primary,46023
1976-05-17,Clark,democratic,1432,primary,46025
1976-05-17,Clark,other,206,primary,46025
1976-05-17,Clark,republican,2034,primary,46025
1976-05-17,Clay,democratic,2913,primary,46027
1976-05-17,Clay,other,906,primary,46027
1976-05-17,Clay,republican,2582,primary,46027
1976-05-17,Codington,democratic,5721,primary,46029
1976-05-17,Codington,other,1755,primary,46029
1976-05-17,Codington,republican,4897,primary,46029
1976-05-17,Corson,democratic,1163,primary,46031
1976-05-17,Corson,other,147,primary,46031
1976-05-17,Corson,republican,1189,primary,46031
1976-05-17,Custer,democratic,1248,primary,46033
1976-05-17,Custer,other,302,primary,46033
1976-05-17,Custer,republican,1567,primary,46033
1976-05-17,Davison,democratic,5222,primary,46035
1976-05-17,Davison,other,1100,primary,46035
1976-05-17,Davison,republican,3993,primary,46035
1976-05-17,Day,democratic,3054,primary,46037
1976-05-17,Day,other,309,primary,46037
1976-05-17,Day,republican,2377,primary,46037
1976-05-17,Deuel,democratic,1323,primary,46039
1976-05-17,Deuel,other,374,primary,46039
1976-05-17,Deuel,republican,1674,primary,46039
1976-05-17,Dewey,democratic,997,primary,46041
1976-05-17,Dewey,other,165,primary,46041
1976-05-17,Dewey,republican,1117,primary,46041
1976-05-17,Douglas,democratic,798,primary,46043
1976-05-17,Douglas,other,130,primary,46043
1976-05-17,Douglas,republican,1950,primary,46043
1976-05-17,Edmunds,democratic,1828,primary,46045
1976-05-17,Edmunds,other,205,primary,46045
1976-05-17,Edmunds,republican,1804,primary,46045
1976-05-17,Fall River,democratic,1852,primary,46047
1976-05-17,Fall River,other,370,primary,46047
1976-05-17,Fall River,republican,2828,primary,46047
1976-05-17,Faulk,democratic,1143,primary,46049
1976-05-17,Faulk,other,128,primary,46049
1976-05-17,Faulk,republican,1146,primary,46049
1976-05-17,Grant,democratic,2375,primary,46051
1976-05-17,Grant,other,601,primary,46051
1976-05-17,Grant,republican,2621,primary,46051
1976-05-17,Gregory,democratic,2189,primary,46053
1976-05-17,Gregory,other,176,primary,46053
1976-05-17,Gregory,republican,1826,primary,46053
1976-05-17,Haakon,democratic,576,primary,46055
1976-05-17,Haakon,other,79,primary,46055
1976-05-17,Haakon,republican,999,primary,46055
1976-05-17,Hamlin,democratic,1417,primary,46057
1976-05-17,Hamlin,other,244,primary,46057
1976-05-17,Hamlin,republican,2103,primary,46057
1976-05-17,Hand,democratic,1700,primary,46059
1976-05-17,Hand,other,244,primary,46059
1976-05-17,Hand,republican,1911,primary,46059
1976-05-17,Hanson,democratic,1041,primary,46061
1976-05-17,Hanson,other,165,primary,46061
1976-05-17,Hanson,republican,868,primary,46061
1976-05-17,Harding,democratic,376,primary,46063
1976-05-17,Harding,other,52,primary,46063
1976-05-17,Harding,republican,782,primary,46063
1976-05-17,Hughes,democratic,3057,primary,46065
1976-05-17,Hughes,other,792,primary,46065
1976-05-17,Hughes,republican,4613,primary,46065
1976-05-17,Hutchinson,democratic,1616,primary,46067
1976-05-17,Hutchinson,other,105,primary,46067
1976-05-17,Hutchinson,republican,4630,primary,46067
1976-05-17,Hyde,democratic,745,primary,46069
1976-05-17,Hyde,other,58,primary,46069
1976-05-17,Hyde,republican,770,primary,46069
1976-05-17,Jackson,democratic,295,primary,46071
1976-05-17,Jackson,other,21,primary,46071
1976-05-17,Jackson,republican,631,primary,46071
1976-05-17,Jerauld,democratic,964,primary,46073
1976-05-17,Jerauld,other,107,primary,46073
1976-05-17,Jerauld,republican,1082,primary,46073
1976-05-17,Jones,democratic,434,primary,46075
1976-05-17,Jones,other,29,primary,46075
1976-05-17,Jones,republican,383,primary,46075
1976-05-17,Kingsbury,democratic,1632,primary,46077
1976-05-17,Kingsbury,other,277,primary,46077
1976-05-17,Kingsbury,republican,2927,primary,46077
1976-05-17,Lake,democratic,3286,primary,46079
1976-05-17,Lake,other,538,primary,46079
1976-05-17,Lake,republican,3348,primary,46079
1976-05-17,Lawrence,democratic,3450,primary,46081
1976-05-17,Lawrence,other,702,primary,46081
1976-05-17,Lawrence,republican,5924,primary,46081
1976-05-17,Lincoln,democratic,2749,primary,46083
1976-05-17,Lincoln,other,750,primary,46083
1976-05-17,Lincoln,republican,3978,primary,46083
1976-05-17,Lyman,democratic,908,primary,46085
1976-05-17,Lyman,other,59,primary,46085
1976-05-17,Lyman,republican,1416,primary,46085
1976-05-17,Marshall,democratic,2029,primary,46091
1976-05-17,Marshall,other,190,primary,46091
1976-05-17,Marshall,republican,1572,primary,46091
1976-05-17,McCook,democratic,1908,primary,46087
1976-05-17,McCook,other,510,primary,46087
1976-05-17,McCook,republican,2091,primary,46087
1976-05-17,McPherson,democratic,520,primary,46089
1976-05-17,McPherson,other,96,primary,46089
1976-05-17,McPherson,republican,2504,primary,46089
1976-05-17,Meade,democratic,3114,primary,46093
1976-05-17,Meade,other,465,primary,46093
1976-05-17,Meade,republican,3723,primary,46093
1976-05-17,Mellette,democratic,572,primary,46095
